,Peripheral_Blood_13,Peripheral_Blood_15,Peripheral_Blood_20,unassigned,Peripheral_Blood_8,Peripheral_Blood_7,Peripheral_Blood_1,Peripheral_Blood_9,Peripheral_Blood_3,Peripheral_Blood_2,Peripheral_Blood_14,Peripheral_Blood_10,Peripheral_Blood_6,Peripheral_Blood_4,Peripheral_Blood_19,Peripheral_Blood_5,Peripheral_Blood_11,Peripheral_Blood_12,Peripheral_Blood_16,Peripheral_Blood_17,Peripheral_Blood_18,Peripheral_Blood_21
Gm11478,1.31974302726234,1.12513760338346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm13588,1.29359245651305,0,1.05897015129946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm14303,2.3246576497389,1.85364765896553,1.7547021664728,0,0,0,0,0,0,0,0.231144499579958,0,0,0,0,0,0,0,0,0,0,0
Gm15427,2.1780987013285,2.02405143151578,1.39308591045619,0,0,0,0,0,0,0,0.398928795555382,0.373302167319902,0,0,0,0,0,0,0,0,0,0
Gm16556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm19585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm20559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm26740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm2a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm3511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm43291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm5150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm5483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm5805,1.05747418397417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm6472,0.814421493910928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
