,Ovary_3,Ovary_11,Ovary_4,Ovary_6,Ovary_10,Ovary_12,Ovary_1,Ovary_13,Ovary_5,Ovary_8,unassigned,Ovary_7,Ovary_9,Ovary_2,Ovary_14
Jund,0.348185291727755,0,0,0,0.620158005349398,0,0,0,0,0,0,0,0,0,0
Kctd14,0,0,0,0,0,0,0,0.41759832945053,0,1.69645509100506,0,0,0,0,0
Klf2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Krt18,0,0,0,0,0,0,0,2.14530356783939,0,0,0,0,0,0,0
Krt8,0,0,0,0,0,0,0,2.82323991879291,0,0,0,0,0,0,0
Laptm4a,0.747240289104291,0.626723151056704,1.35541846318878,0.726118734672793,0.968923203340615,0,0,1.25726692112557,1.26922677659181,0,0,0,0,0,0
Ldha,0.860617839515073,1.29836887435266,0.72091718636591,1.40827900168406,0.471221969226005,0.743477216114831,1.72954338714508,0,0,0,0,0,0,0,0
Ldhb,0,0,0,0.658788924052663,0,0,0.825954080027458,0.70443856163343,0,1.91518147096516,0,1.0836079741547,0,0,0
Lgals1,1.20083263969153,0.471941811984965,2.25478702515458,0,1.74220340634603,1.60953595361391,0,2.40620667948994,1.51422337809515,0,0,0,0,1.27853568461417,1.62880506605175
Lgals3,0,0,0,0,0,1.6119170796296,0,0,0,0,0,0,0,0,1.90298395400544
Lgals7,0,0,0,0,0,0,0,2.43249607433926,0,0,0,0,0,0,0
Lgmn,0.455685411559626,0,0,0,1.38301307788829,1.9347147256172,0,0,0,0,0,0,0,0,0
Lhcgr,1.37513571345984,0,0,0,0.744897611452478,0,0,0,0,0,0,0,0,0,0
Ly6c1,0,1.28581096561036,0,0,0,0,0,0,0,0,0,0,0,0,0
Ly6e,0,2.2541077681429,0,0,0,1.61710292131047,0,3.4557775563966,0,0,0,0,0,0,0
Lyz2,0,0,0,0,0,4.42296769162589,0,0,0,0,0,0,0,0,4.89107213594034
Manf,0.286995256417314,0,0,0.905556997741789,0,0,1.06346890422036,0,0,0,0,0,0,0,0
Map1lc3a,0.959566691727587,0,0,0,0.9340851963859,0,0,0,1.96955402824176,0,0,0,0,0,0
Marc2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marcksl1,0.405713307607229,1.12581076981309,0,0,0.696909869412938,0,0,0,0,0,0,0,0,0,0
Mdh1,1.11218682261877,0,0,0.644396936343828,0.905035302289652,0,0.55015434450923,0,0,0,0,0,0,0,0
Mdk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Me1,1.70667236192138,0,0,0,1.50786537281669,0,0,0,2.10351293809292,0,0,0,0,0,0
Med10,1.21136303412725,0,0,0,0.87720879727258,0,0,0,0,0,0,0,0,0,0
Meg3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mfap2,0,0,0,0.633571799718714,0,0,0,0,0,0,0,0,0,0,0
Mfge8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mgarp,1.72942713452411,0,0,0,1.66007627651628,0,0,0,2.90227251757629,0,0,0,0,0,0
Mgp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mgst1,1.77640965047675,0,0,0.366675705751516,1.55657790133469,0,0,1.40755532750724,1.94193145056413,1.05951576832158,0,0.928017887507361,0,1.55793906541767,0
Mid1ip1,0,0,0,0.660714500925644,0,0,0,0,0,0,0,0,0.978473299880816,0,0
Mif,1.78403253041139,1.15764009628464,1.33593753286969,1.94738465367798,1.55837419596722,0,2.19491710014208,0.737063945876263,0.586706855418947,1.68848441877039,1.2360390194994,1.65066622911879,1.76011346873323,1.78478051876098,0
Minos1,1.37127777151018,0.7775243719142,0.408859195671219,0.92786230593436,1.19993838282469,0,0.825954080027458,0,1.11488386626141,0,0,0,0,0,0
Mmp11,0,0,0,0,0.310187542253924,0,0,0,0,0,0,0,0,0,0
Mrap,0.967746326247602,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mrfap1,1.16569791159914,0,0,0,0.874303297174612,0,0,0,0,0,0,0,0,0,0
Mrpl33,1.07231325274741,0,0,0,0.789529692213599,0,0,0,0,0,0,0,0,0,0
mt-Nd2,2.3602202665835,1.79456398494794,1.81256272550532,2.26270741264152,2.53947986154033,1.83017725794075,2.23399358557142,2.29167999766058,3.40136050606084,2.61833050003188,2.48193159099762,2.35636119714717,2.57891620023993,2.10278638184728,1.87743315055952
mt-Nd5,1.20083263969153,0.91829938460464,0,0.976892161874587,1.15808629024768,0,0.78369201732772,1.18760483389702,1.90906046610263,1.42995687261539,1.4995626558365,1.30663921200461,1.11653634763995,0,0
mt-Rnr1,0.404379938632952,0.545375458773424,0,0,0,0,0,0.43438973604757,0,0,0,0,0,0,0
mt-Rnr2,1.00348301310465,1.97142773053309,1.81062691967008,1.40827900168406,1.23764407320336,1.31220847638864,1.25107666388578,2.88158492163095,1.72502539369054,1.68980707695745,2.2188244537743,2.05820407618757,1.89523625171837,1.256709631936,1.98465953250346
Mt1,2.48272338038073,0,1.63125060271697,1.16500543739905,2.1152232110488,1.82859565073071,1.24651084291936,4.30916978410207,2.81183615144597,1.51708869619441,1.00740512554526,1.62576301829615,0.994458474707478,2.45316349765903,1.87075077594587
Mt2,0.954551247630649,0,0,0,0.650804694808754,0,0,3.35328105915159,1.15472134366935,0,0,0,0,0,0
Myl12a,1.21129862500669,1.68277938794697,1.6891941078466,1.10936961851494,1.48570649847079,0.924554194576184,0.971604889735916,1.58184430338768,0.818613978720166,1.43364017624015,0,1.77736346152098,1.2306140361532,0,0
Myl6,1.25078868769545,1.69980097690229,1.3537818530949,0.644396936343828,1.15138618822752,0.641612229912884,0,1.05050901673695,0.827547807795333,0,0,0.798146248470643,0,0,0
Myl9,0,0,0.858905735207869,0,0,0,0,0,0,0,0,0,0,0,0
Mylk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
