,Small-Intestine_9,unassigned,Small-Intestine_16,Small-Intestine_12,Small-Intestine_5,Small-Intestine_8,Small-Intestine_10,Small-Intestine_7,Small-Intestine_1,Small-Intestine_4,Small-Intestine_24,Small-Intestine_27,Small-Intestine_23,Small-Intestine_3,Small-Intestine_26,Small-Intestine_22,Small-Intestine_25,Small-Intestine_2,Small-Intestine_18,Small-Intestine_15,Small-Intestine_20,Small-Intestine_14,Small-Intestine_11,Small-Intestine_19,Small-Intestine_21,Small-Intestine_28,Small-Intestine_6,Small-Intestine_13,Small-Intestine_17
Pycard,0,0,0.893652698310438,0,0.890697801523199,0,0,0,0,0,0,0,0,1.26909579541441,0,0,0,0,0,0,0,0,0,0,0,0.833331362328251,0,0,0
Rac2,0,0,0,1.15275685137504,0,0,1.4038168622993,0,0,1.28614005332628,0,0.910924918163317,0,0,0,0,0,1.43532195641708,0.56521651398132,0,1.56652935698786,1.31708905121116,0,0,1.56628894300879,0.98876541724771,0,0,0
Rbp2,0,0,0,0,2.40826114435612,0,0,0.312753206956272,0,0,0,0,0,0,0,0,0,0,0,1.42295278879001,0,0,1.66329637422884,0,0,0,0,0,0
Reep5,0,0,0.412546711239904,0,0,0,0,0,0,0,0,0,0,0,0,1.36959328355173,0,0,0,0,0,0,0,0,0,0,0,0,0
Reg1,0,0,0,0,0.62033159034268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.21088525173324,0,0,0,0,0,0,0,0,0
Reg3b,2.31693470456798,2.39133319376047,1.58758153617915,1.33316868091018,4.37464240584404,2.35636379219606,1.97364781090689,4.91047290429931,1.48945373878331,1.70535225065856,1.53884577217662,2.02660118645565,1.55683202914738,1.66412334236607,1.63126823097612,1.69107304200912,1.67798340591966,2.13958525687614,2.97327175895362,3.439540811325,1.87585105395719,2.16412263467043,3.94221907763051,1.34393353029644,1.54072482497046,2.14012693918361,3.95471593122246,1.66687428077599,3.38408237464102
Reg3g,3.1474597171404,1.99944405714262,1.17572682376633,0.963665260416335,3.61205796871768,1.86501937608621,1.51711219078511,4.1194903692215,0.834331458242249,1.18068299269199,1.17426167073498,1.14051744382708,1.18942966505424,1.60379223361085,0.738059883632493,1.47300677115747,0.61501088270467,1.45333178430488,2.38901159051153,2.95385183803876,1.52374219797186,1.58787908235335,3.44491533208434,0.622799269968555,1.24691766413869,1.75956018507856,3.28494308938723,0.878376911748531,2.64602495028373
Reg4,1.25078744534026,0,0,0,0,0,0,0,0,0,0,0,3.99758314207566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rgs1,0,0,0,0,0,0,0.850233996883682,0,0,2.15586997048583,0,1.78382564782628,0,0,0,0,0,1.58897583440562,1.66335144274727,0,1.12770765543433,0,0,0,0,1.84504010427553,0,1.39514738536262,0
Rgs2,0,0,0,0,0,0,0,0,0,0,0,1.35721665503769,1.12071415619862,0,0,0,0,0,0,0,0,0,0,0,0,0.665183212577975,0,0,0
Rn7sk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.914463948326234,0,0,1.30302091172882,0,0,0,0,0,0
Rpl12,0.259148660029614,0,0.574305618179358,1.25571091839241,0,0,1.39840031982778,0,0,1.13569784735167,0,1.50825774233882,0,1.18702035451569,1.07102861719414,0,0,1.25373741938581,0,0,1.35797685815102,1.50679293553322,0,0.555822027947877,0.847328905195033,0.413407019605942,0,0,0
Rpl15,0,0,0.834337817147575,1.33711313493149,0,0,1.34279162627187,0,0,1.07671768143511,0.353496971640481,1.53822069389602,0.568737664456102,1.14517711153664,1.17981578501594,0,0,1.20280948107586,0,0,1.064704982609,1.34279162627187,0,0.845008526020759,1.27149415325629,0.743506547392044,0,0,0
Rpl22,0,0,0.808180264466747,1.4061521073692,0,0,1.41012320164115,0,0,1.29610637382707,0,1.53822069389602,0,1.16781701944393,0,0,0,1.3514072077981,0,0,1.41587661946121,1.57594382515298,0,1.07779142659999,1.00114443540044,0.413407019605942,0,0,0
Rpl23a,0,0,0.943969664171692,1.76734963696785,0,0.451593543217936,1.74579234261999,0,0,1.62089252452902,0,1.79058466126315,0.673141684844328,1.40021817981405,1.40423539312223,0,0,1.63738929960854,0,0,1.80222592434766,1.98441529525632,0,1.17378275402876,1.50741074222361,1.44289481709509,0,0,0
