,unassigned,Neonatal-Muscle_18,Neonatal-Muscle_20,Neonatal-Muscle_19,Neonatal-Muscle_21,Neonatal-Muscle_11,Neonatal-Muscle_5,Neonatal-Muscle_12,Neonatal-Muscle_3,Neonatal-Muscle_9,Neonatal-Muscle_24,Neonatal-Muscle_23,Neonatal-Muscle_26,Neonatal-Muscle_7,Neonatal-Muscle_27,Neonatal-Muscle_15,Neonatal-Muscle_2,Neonatal-Muscle_6,Neonatal-Muscle_1,Neonatal-Muscle_16,Neonatal-Muscle_17,Neonatal-Muscle_14,Neonatal-Muscle_22,Neonatal-Muscle_8,Neonatal-Muscle_10,Neonatal-Muscle_4,Neonatal-Muscle_13,Neonatal-Muscle_25
Col9a2,0,0,0,0,0,0,0,0,0,2.11437428359172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Col9a3,0,0,0,0,0,0,0,0,0,1.73459423519529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comp,0,0,0,0,0,0,0,0,0,0.792446643195352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coro1a,0,1.0687467811094,0,0,0,1.48176145919859,1.20668456965913,0,1.28214705677956,0,1.08589577300517,0,0,0,0,0.899571849405254,0,0,0,0,0,0,0,0,0,0,0,0
Cotl1,0,0.359555999874205,0,0,0,1.09917109249519,0.999894725360456,0.934536756711656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cox5a,0,0.716348918916734,0.887843991297578,0,0,0,0,0,0,0,0.926317047062549,1.12999305766288,1.39904019852375,0.652725445490192,0.652725445490192,0.89429639424071,0,0,0,0,0,0,0,0,0,0,2.6782386416599,0.91517959374501
Cox7a1,0,0,0,0,0,0,0,0,0,0,0,0,0.761060386004344,0,0,0,0,0,0,0,0,0,0,0,0,0,1.48807214082761,0
Cox7b,0,0.949312203241039,1.23830143621236,0,0,0,0,0.830589898548533,0,0,0.971052535193344,1.66078128462556,1.93159791540688,1.30101309948079,0,0.866112012725291,0.740014627878287,0.986859186766878,0,0.753197489261671,0.778613768196806,0.630012901759281,0,0,0.596813018312315,0.642814247221534,2.93460293060808,0.934536756711656
Cox8b,0,0,0,0,0,0,0,0,0,0,0,0,0.903719614458642,0,0,0,0,0,0,0,0,0,0,0,0,0,2.31727340856259,0
Cpa3,0,0,0,5.74809871526453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cpe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.37847224480021,0,0,0,0,0,0,0,0,0,0,0,0,0
Crip1,0.786584897904195,0,0.461964579607746,1.20745607364548,0,1.40920049322455,0,1.64765468835516,0,0,1.07382904260885,0,0,0,0.790181559795251,1.84660837026458,0.841878710441252,3.24272191662413,1.34674299856018,1.11641889903624,3.24872464007299,0.90670656758715,1.27711621413073,1.26626122977603,1.48886267346973,2.01653466233005,0,2.36807748667886
