,unassigned,Embryonic-Mesenchyme_6,Embryonic-Mesenchyme_9,Embryonic-Mesenchyme_15,Embryonic-Mesenchyme_21,Embryonic-Mesenchyme_3,Embryonic-Mesenchyme_2,Embryonic-Mesenchyme_11,Embryonic-Mesenchyme_8,Embryonic-Mesenchyme_17,Embryonic-Mesenchyme_1,Embryonic-Mesenchyme_23,Embryonic-Mesenchyme_13,Embryonic-Mesenchyme_5,Embryonic-Mesenchyme_10,Embryonic-Mesenchyme_22,Embryonic-Mesenchyme_4,Embryonic-Mesenchyme_25,Embryonic-Mesenchyme_24,Embryonic-Mesenchyme_16,Embryonic-Mesenchyme_7,Embryonic-Mesenchyme_14,Embryonic-Mesenchyme_12,Embryonic-Mesenchyme_20,Embryonic-Mesenchyme_19,Embryonic-Mesenchyme_18
Gdi2,0,0,0,0,0,0,0.462548079353708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glrx3,0,0,0,0,0.255195231300137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.672215345692589,0,0
Glrx5,0,0,0,0,0.96616105782466,0,0,0,1.28782792705467,0,0,0,0,0,0,0,0,0.651405081196747,0,0,0,0,0,0,0,0
Gm1673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm2694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gnas,0,0,1.65602834257835,0.472744613142092,0,1.34419238203493,0,1.34994051359547,0,0.844624787586976,1.67482610766283,1.85936596203554,1.26134273719119,1.84153991643013,1.17093618280076,1.05406535066839,1.09778641410885,0,0.820299787454575,2.14358150320685,1.61917149860183,1.65778754261664,1.25966957999829,0.986107944878376,0,1.40699527273256
Gng3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.986107944878376,0,0
Gng5,0,0,0,0,0.516463199665095,0,0,0.754071951928219,0,0,0,0.633093286287281,0,0,0,0,0,0.893183896219637,0,0,0,0,0,0,0,0
Gpc3,0,0,0.479797695079114,0,0,0,0,0,0,0,0,0,0,0.6039048790068,0,0,0,0,0,0,0,0,0,0,0,0.466115246782766
Gpx1,1.14116858409374,1.63648483709387,0,1.89226164286066,1.75922416196086,0,1.35146740952935,0,2.9175562692085,1.51991212210311,0,0,0,0,0,0,0,1.26901830325554,1.11903634758077,0,0,0,0,0.296958088347948,0,0
Gpx8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grn,0,0,0,0,0,0,1.25801021918674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gypa,0,0,0,0,0,0,0,0,0.947298319149835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H19,0,0,1.89910344964815,0,0,1.05498040832358,0,0,0,0,1.12736055921369,1.46193376990983,0,1.05864068557768,0,0,0,0,0,0,0.861943908585498,1.1230568916292,0,0,0,1.11140263159154
H1f0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H2afv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
