,unassigned,Neonatal-Calvaria_1,Neonatal-Calvaria_4,Neonatal-Calvaria_5,Neonatal-Calvaria_3,Neonatal-Calvaria_6,Neonatal-Calvaria_9,Neonatal-Calvaria_13,Neonatal-Calvaria_2,Neonatal-Calvaria_8,Neonatal-Calvaria_7,Neonatal-Calvaria_10,Neonatal-Calvaria_11,Neonatal-Calvaria_14,Neonatal-Calvaria_12
Cytl1,0,1.25747516583368,0,1.05128832779453,1.00642387716388,0,0,0,1.33908565404643,0,0.606374936431576,1.16879032838675,0,0,0
Dad1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dbi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dcn,0,0,1.24461012381306,0,0,0,0,0,0,0,0.584739414503601,0,2.47908472109378,0,0
Ddit4,0,0,0,0,0,0,0.980209742844107,0,0,0,0,0,0,0,0
Ddx3x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ddx5,0.821886393455607,1.14920531064738,0,1.35856332846674,1.17231979907288,1.20641480293099,1.23702645334717,1.27695823782566,0.968923875695045,1.25202559007791,1.01377714196361,0.686908018030089,0,0.421509758122078,1.17408810949062
Degs1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dhx58os,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dlk1,1.10113194422647,1.69407188460637,0,0.93273639357414,1.58670401719939,0,0,0,1.62503072950881,0,1.94301205678977,1.34656671073304,2.23441175081008,1.09085641210328,1.71122393609284
Dnaja1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dnajb1,0,0.663875585728066,0,0.926193305666627,1.52498910997152,0,0,0.706623906817365,1.25610765914379,0.916247189517329,0.693561281652686,0,0,0,1.12169464379258
Dnajb9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dusp1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dusp14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dusp2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dynll1,0,0,0,0,0,0,0,0.706623906817365,0,0,0.873550586637299,0,0,0.868828227815283,0
Dynlrb1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eef1g,0,0,0,0,0,0,0,0.916201684529764,0,0,0,0,0,0,1.05091843539125
Efhd2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Egr1,0,0,0,0,1.23861313559007,0,0,0,0.864681109770918,0,0,0,0,0,1.24736039736693
Eif1a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eif2s2,0,1.01682402891114,0,0,0.923315636762306,0,0.753984379111417,0.933469312359593,0,0,0.924761415775107,0,0.707058388013239,0,0.771268050547353
Eif3f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eif3h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eif3k,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.744162431593073
Eif4a1,0,0,0,0,0,0,0,0.532423670607168,0,0.641144289430717,0,0,0,0,0
Eif4e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eif5,0,0.466719183083694,0,1.01073025501607,0,0,0,0,0,0.795856530465509,0,0,0,0,0
Eif5a,0,0,0,0,0,0,0.527963684074984,1.35213674718908,0,0,0,0,0.286148250690558,0,0
Eif5b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emp1,0,1.04941373223474,0,0,0,0,0.81872739140112,0,0,0,0.590123604402276,0.717134623656256,0.352073961310611,0,0
Emp3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Epyc,0,0,0,0,0,0,0,0,0,0,0.689873511117647,0,0,0,0
Errfi1,0,1.13248879344477,0,0,1.74077556973382,0,0,0,0,0,0.920458675292974,0,0,0,0
F3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fam180a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fbln7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fcer1g,0,0,0,0.583298677997768,0,0,0,0,0,1.25953276691687,0,0,0,0,0
Fgfr1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fgfr3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
