,Placenta_1,Placenta_3,Placenta_9,unassigned,Placenta_27,Placenta_6,Placenta_5,Placenta_19,Placenta_23,Placenta_15,Placenta_10,Placenta_11,Placenta_7,Placenta_22,Placenta_13,Placenta_25,Placenta_4,Placenta_2,Placenta_14,Placenta_16,Placenta_8,Placenta_26,Placenta_28,Placenta_12,Placenta_21,Placenta_17,Placenta_18,Placenta_24,Placenta_20
H2-K1,0,1.66989756818288,1.33023112108282,0.807555175995751,0,0,0,0.833912362328461,0,0,0,0,0,0,2.15977393275633,1.11107623309988,1.87961333857722,0,0,0,1.46945753406496,1.73913937222263,0,0,0,0,1.099134766927,1.68323466495412,1.57585164999246
H2-Q7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2798781017991,0,0,0,0,0,0,0
Hba-a1,0,0,0,1.37689498872688,1.16095780090507,1.03891144463431,0,1.41216188039459,0,0,0,0,0,0,0,0.617516630680326,2.0214753239559,0,0,6.87533187915601,1.53698081107781,1.98274491342442,1.67177011454167,0,2.21591126412015,1.67626815167054,2.36867607940637,2.70916158267331,3.85340894548391
Hba-a2,0,0,0,0.904900623000299,0.732540453971234,0,0,0.223489372831474,0,0,0,0,0,0,0,0,1.41395052921732,0,0,6.25734005779256,0,1.28789636117201,1.25288497976906,0,1.50917474030651,1.35809860283522,1.68131179159282,1.53383607767925,2.8453949321241
Hba-x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.25370892725987,0,0.584591669094372,0,0,0.694950026377597,0,0,1.39388029707723,2.31201191597765
Hbb-bh1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hbb-bs,0,0.629389436422644,0.731302244831523,1.51373269746921,1.32164605912996,1.05710100737778,0,0.476515155759938,0,0,0,0,0,0,0,0.800703424767597,1.88372337511485,0,0,5.15883849918184,1.58422074212419,1.67557232756747,1.41989086803049,0,2.04038724845331,1.72696972978225,2.3030193292958,2.69540894824929,3.74961872775373
Hbb-bt,0,0,0,0.323227837466332,0.598602870852907,0,0,0.223489372831474,0,0,0,0,0,0,0,0,1.27988654646007,0,0,4.84922575794354,0,0.313464253525309,0.373224312972288,0,1.22031515436399,0.455295176943563,1.22901859699324,1.56922245656361,2.82190155708545
Hbb-y,0.838399946508198,1.29456616731182,1.1976842577792,2.3847292062744,2.41719058345743,2.16835326749176,0.482525570165162,2.04705080402537,0,0,0,0,0,0,0,0.800703424767597,3.42019119945082,0,0,6.84831874064528,3.07208295477633,3.26584601279056,2.87108653649785,0,3.37025887055303,3.0632145650406,3.84523852696108,4.02700969106983,5.3131884444211
Hcar2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hdc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.18391500385382,0,0,0,0
Hes1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hexa,0,0.368842745347461,0,0,0,0,0,0,0,0,0,0,0,0,0.453055150779516,0,0,0,0.700549240820558,0,0,0,1.02041249553488,0,0,0,0,0,0
Hexb,0,0,0,0,0,0,0,0,0,0.445539127129083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hist1h1c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.31148763344723,0,0,0,0,0,0
Hist1h2bc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.859574889327566,0,0,0,0,0,0,0,1.67177011454167,0,0,0,0,0,0
Hmgn1,0,0,0,0,0,0,0,0,0.657496901080618,0,0,0.777795219169181,0,1.20438052765859,0,0,0,1.19222224352428,0,0,0,0,0,0.73888539631412,0,0,0,0,0
Hmox1,0,2.44250329025193,0,0,0,0,0,0,0,1.0986905832428,0.831218741278956,0,0,0,0,0,0,0.365231985846837,0,0,0,0,0,0,0,0,0,0,1.41182180502096
Hp,0,0,0,0,0.159569084396757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hs3st1,0,0,0,0,0,0.615066273450127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hsd11b1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hspa1a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
