,Lung_18,Lung_12,Lung_1,Lung_3,Lung_28,Lung_31,unassigned,Lung_2,Lung_14,Lung_11,Lung_19,Lung_8,Lung_6,Lung_5,Lung_24,Lung_17,Lung_10,Lung_22,Lung_25,Lung_9,Lung_16,Lung_32,Lung_7,Lung_20,Lung_15,Lung_29,Lung_26,Lung_21,Lung_4,Lung_30,Lung_23,Lung_13,Lung_27
Tuba1a,1.18360746243537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.791354882270254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tuba1b,0.459064103701898,0,0,0,0,1.16399318150277,0,0,0,0,0,0,0,0,1.13562026511433,0,0,1.56375839720475,1.73590289019588,0,0,1.69571562938053,0,0,0,0,1.86475144059803,0,0,0,0,0,0
Tubb5,0,0,0,0,0,0.60805724009363,0,0,0,0,0,0,0,0,1.05461546298606,0,0,1.48592829433006,1.30660573970165,0,0,1.55092069385801,0,0,0,0,1.14539983449137,0,0,0,0,0,0
Tyrobp,0,0,0,1.90355795749384,0,0.68124026924261,0,0,0,0,0,1.48511125972319,1.82382228059403,2.12584490120467,0,0,0,0,0,1.03564339809166,0,1.1351241891874,2.25762746109099,0,1.40581814631179,0.668954390530188,1.36372531576871,1.6244376880758,0,1.73158498057037,0,2.08992619649307,0
Ubc,1.00973343424997,0.782522091403118,0.749120560363647,1.16302337083867,0.51524646650126,0.555108746935253,0.622842435341755,0,1.10778777857245,1.21689018259731,0.392007900715361,1.29125959855358,0,1.10778777857245,0.617895111051103,1.0863622132459,1.03831000135226,0.972984237454521,0.514828368572061,0.988423207876973,1.15628206456542,1.33556748285969,1.52462415104076,1.04088571262805,1.55648017209437,1.02623523914283,0.923432887544323,1.20825264301235,0,2.04144074938686,1.16959445484132,1.46340089500481,0.909499599715685
Ucp2,0.584522322366685,0,0,1.26696361576564,0,1.00152254258733,0,0,0,0,0,0.930641859759005,0,1.25092219678528,0.772434453459523,0,0,1.46287355090112,0.573531135623271,1.25177122717146,0,0.751145683435639,0,0,0.696000264151414,1.04834121330449,1.38767022243415,0,0,0,0,1.1411779148062,0
Unc93b1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vim,0,0,0,1.50416485689151,0,0.547589917893855,0,0,0,0.664348298427819,0,0,0,1.06578626558455,1.06256945394154,0,1.07269005213395,1.33059408646026,0,1.04043830453974,0,1.47463240189001,0,1.33210206058814,0.573041085115682,1.19083871135294,1.73753648062105,0,0,0,1.13932617080584,0,0
Vps37b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wdr89,0,0,0,0,0,0.781671157607498,0,0,0,0,0,0,0,0,0.588231288803496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wfdc17,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05540526241444,0,0,0,0,0,0,0,0.245893784747883,0,0,0,0,0,0,0,0,0,0,0
Wfdc2,1.88012636048919,2.73306327689933,2.16882939848308,0,0,0,1.45866958341153,0,0.750291108131475,0,0,0,0,0,0,0,0,0,0.565794682556554,0,0,0,0,0,0,0,0,0,0,0,0,0,2.27382753676259
Wfdc21,0,0,0,0.80488137868961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.901960998546445,2.78887574361689,0,0,0,0,0
Ypel3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zfp36,0,0,0,0,0.51524646650126,0.68124026924261,0,0,0,1.11483244458475,0,1.17346289887064,0,1.02698133337057,0,0,1.23861748191548,0.685438356060191,0,0.747458137707129,0,1.94692961472688,0,0.884341185262669,1.72128720255307,0,0.25807810026376,0,0,2.29969268300351,1.1044119722171,1.27279928029273,0
Zyx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.540274390959836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
