,Bone_Marrow_Mesenchyme_9,Bone_Marrow_Mesenchyme_5,Bone_Marrow_Mesenchyme_1,Bone_Marrow_Mesenchyme_4,Bone_Marrow_Mesenchyme_6,Bone_Marrow_Mesenchyme_18,Bone_Marrow_Mesenchyme_15,Bone_Marrow_Mesenchyme_10,Bone_Marrow_Mesenchyme_14,Bone_Marrow_Mesenchyme_7,Bone_Marrow_Mesenchyme_2,Bone_Marrow_Mesenchyme_11,Bone_Marrow_Mesenchyme_19,Bone_Marrow_Mesenchyme_13,Bone_Marrow_Mesenchyme_12,Bone_Marrow_Mesenchyme_8,Bone_Marrow_Mesenchyme_17,Bone_Marrow_Mesenchyme_3,Bone_Marrow_Mesenchyme_16,unassigned
Dusp1,0,0,0,0,0,0,0,1.09643893410288,0.572367408564753,0,0,1.0253733176055,0,0,0,1.11104514790383,0,0,0.898218687500325,0
Dut,0,0,1.28344063788716,0,0,0.587671137111309,0,0,0,0.810153686231229,0,0,0.634635933930176,0,0,0,0,1.38913758712625,0,0
Ear1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.08093566823326,0,0,0,0,0
Ear6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2692579934665,0,0,0,0,0
Ebf1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eef1a1,1.3428274216709,0,1.65402050116056,1.03026087313968,0,0.441305237484797,0.951870700916071,1.04473496571349,1.05445337879091,1.426220059418,1.19018982529459,1.29565830188065,1.06387009955606,1.33109593770779,0.863283627480507,1.19185438227439,0.510025995254925,1.46378249761451,1.4311295122576,0
Eef1b2,1.25807347382053,0,1.78129928929203,0.758211808309558,0.728888174080908,1.25286386899672,1.24300309078726,1.40103021966059,1.08097358217506,1.44809862828217,1.32584484624407,1.09713787802219,1.47046127499915,1.04018996840519,1.19251804784443,1.27684532481374,0,1.64628387034061,0.936015330538251,0
Eef1g,0.923355423718168,0,1.7751277270377,1.07493032324588,0,1.06271417719914,0.954840151706205,1.09346291466519,0,1.28774701032701,1.06959094455064,0.947573030566799,0.906295810419697,0.978385134657239,1.00630639322698,1.01383708768156,0,1.54576678181946,1.03321693321245,0
Egfl7,0,0,0,0,0,0,0,0,0,0,0,1.58658417850282,0,0.825261450028916,0,0,0,0,0,0
Egr1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.562923366023004,0
