,Trophoblast-Stem-Cell_4,Trophoblast-Stem-Cell_2,unassigned,Trophoblast-Stem-Cell_1,Trophoblast-Stem-Cell_3,Trophoblast-Stem-Cell_5
Hnrnpab,0.352664123950531,0,0,0,0,0
Hnrnpc,0.678674315572596,0.546441376104383,0,0,0.410061114281314,0
Hnrnpk,0,0.374415445808451,0,0,0.257018408457298,0
Hsbp1,0.510304905454142,0.607138248061468,0,0,0,0
Hsp90aa1,0.404124685169773,0.606266002728633,0,0,0,1.00033844250059
Hsp90ab1,1.29368485336667,1.32939081936175,1.19116679936788,1.2496207367171,1.18273126811874,1.22277920628509
Hspa5,0.216654818791225,0,0,0,0.293873076334684,0
Hspa8,0.827585527028946,1.00315342214276,1.1480937110213,1.17994760814251,0.887467366906785,1.39761952750672
Hspa9,0,0,0,0,0,0
Hspb1,2.22230677305004,0.543301019882027,0.976163425035009,0.900963972877711,0.993680154771804,0
Hspd1,0.423683160976346,0,0,0,0,0
Hspe1,0.678674315572596,0.995868535048969,0.860665760836947,0.933143450585494,0.858809107413558,1.2037110864002
Id2,0.483267297468617,1.26372051573889,1.06165140526563,1.20288438348212,0,1.43669238171735
Id3,0,0,0,0,0.831356734152824,0
Idh2,0,0,0,0,0,0
Idh3a,0,0,0,0,0,0
Idh3g,0,0,0,0,0,0
Ifitm2,0,0,0,0,0,0
Ifitm3,0,0,0,0,0.796553481630631,0
Igfbp7,0,0,0,0,1.00937291967443,0
Imp3,0,0,0,0,0,0
Impdh2,0,0,0,0,0,0
Krt18,2.49624824832495,0.591366509040464,0,0.949974127499191,0,1.22277920628509
Krt8,2.2180026249431,0,0,0,0,1.10126705672415
Krtcap2,0.539259823169844,0.759139425755132,0,0,0.800060193939898,0
Lamp1,0.511335764633933,0,0,0,0,0
Lamtor5,0,0,0,0,0,1.00033844250059
Lasp1,0,0,0,0,0,0
Lgals1,2.3840004550985,0.991991318054589,1.8727899932368,1.94455657822911,3.05658922678399,2.29570596273257
Lsm2,0,0,0,0,0,0
Lsm6,0.435368529666991,0.542551804429588,0,0,0,0
Lyar,0,0,0,0,0,0
Manf,0.485854066113669,0,0,0,0,0
Marcksl1,0.762536689317537,0,0,0,0,0
Metap2,0,0,0,0,0,0
Mif,1.3734276705586,1.75260379131646,1.47820924982129,1.49204818417403,1.61737444872985,2.14208355607965
Minos1,0.924921272654879,0.705921376698767,0,0.590985416743116,0.794671149756474,0
Mlf2,0,0,0,0,0,0
Morf4l2,0,0,0,0,0,0
Mrfap1,0,0,0,0,0,0
Mrpl12,0.597031684096203,0.629955899430176,0,0.82376723260998,0,1.10126705672415
Mrpl13,0,0,0,0,0,0
Mrpl20,0,0,0,0,0,0
Mrpl28,0.352664123950531,0,0,0,0,0
Mrpl30,0,0,0,0,0,0
Mrpl42,0,0.476065267635741,0,0,0,0
Mrpl51,0.429437845222282,0,0,0,0,0
Mrpl52,0.429503419008972,0,0,0,0.493908800507981,1.00033844250059
Mrpl54,0,0,0,0,0,0
Mrps14,0.679170764793655,0,0,0,0,0
Mrps24,0,0,0,0,0,0
Mrto4,0,0,0,0,0,0
mt-Co1,1.02111102284982,0.915358839500074,1.12664715801201,0.915981933480837,0.929595567514961,0
mt-Cytb,2.44617540875989,2.18988753989239,2.05913108727131,1.85206085651047,2.54008715265659,1.68008238663135
mt-Nd2,1.44628000651026,1.40618875136815,1.44601896054481,1.36941934988693,1.33458150852717,1.39761952750672
mt-Nd4,1.58992671625648,1.40717160148012,1.5151544868936,1.41764706286747,1.72395465477071,0
mt-Nd5,0.483267297468617,0,0,0,0,0
mt-Rnr2,0.641652832947739,0.509506141263353,0,0,0,0
Mt1,1.22336931586367,0.859082422443256,0.342336556244889,1.01400218121717,0.373943438591322,1.22277920628509
Mt2,0.504341186236456,0,0,0,0,1.07192137739718
Mtch2,0.425631626648804,0.381522779552182,0,0,0,0
Myl12a,1.37579286335229,0.901868913163039,0,0,1.57267996365386,0
Myl6,0.71889976178154,0,0,0,1.06619041735054,0
Naa38,0,0,0,0,0,0
Naca,1.22617827950907,1.36652182916323,1.42318364576841,1.49379816977045,1.26016580055891,1.47308829041064
Nap1l1,0.435368529666991,0.6216656561826,0,0,0.479629859431584,1.07192137739718
Ncl,0.435368529666991,0.731985476610999,0,0,0.487424700489175,0
Ndufa11,0.600867111976362,0.459795254509873,0,0,0.320982070772062,0
Ndufa12,0.501779054085865,0.479956071266727,0,0,0,0
Ndufa13,0.779134844692044,0,0,0,0,0
