,unassigned,Uterus_19,Uterus_8,Uterus_5,Uterus_3,Uterus_7,Uterus_6,Uterus_11,Uterus_13,Uterus_9,Uterus_18,Uterus_12,Uterus_1,Uterus_16,Uterus_10,Uterus_17,Uterus_4,Uterus_14,Uterus_2,Uterus_15
Serping1,0,0,0,0.743948872229945,0.607348008331884,0,0,0,0,0,1.38019954449217,0,0,0,0,0,0,0,1.62147356420532,0
Serpinh1,0,0,0,2.60328394194258,2.33038859894646,0,0,2.26943737289675,0,0,1.52468986308359,0,2.25530801972944,0.433615311100635,0,0,1.45287716526668,0,1.35572013171245,0
Sfrp4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sgk1,0,0,0,1.38406842892996,0.919914219082342,0,0,0,0,0,0,0,0,0,0,0.870169397470179,0,0,0,0
Sh2d2a,0,0,0,0,0,0,0,0,0,1.24472912144648,0,0,0,0,0,0,0,0,0,0
Sh3bgrl3,0,0,0.576670882701884,0,0,0,1.09376920072937,0,0,1.53264854283763,0,1.11382652890682,0,0,1.26502890038206,0,0,0,0,0
Shisa5,0,0.741115189709871,0,0,0,0,0,0,0,1.40191812201292,0,0,0,0,0,0,0,0,0,0
Slc25a5,0,0.518337003185614,1.5842998629265,0.814593003604208,0.677835207988208,0.817756526816589,1.0398068074855,0,0,0.28289300293675,0,1.06622068364589,0,0,1.00340404980027,1.33938749313631,0,2.04269407382641,0,1.49902288428755
Slfn5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Snhg18,0,0,0,0.502105986041828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Snrpg,0,0,1.08138704875088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.26996824195377,0,0
Socs3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sox4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.15775562547608,1.48329076547135,0,1.55924113396312,0
Sparc,1.3862363381092,1.80725372546492,1.06961776866058,3.97469198764378,3.32804961337325,2.40089880623884,0,3.71901327342479,1.78192792662749,0.988576298885498,3.17236247646826,1.22142089156536,3.23995071894495,1.9552613089123,0,0,1.71045211857122,0,2.60017761465106,1.73203010113715
Sparcl1,0,0,0,1.23322394690394,0,1.36432641566697,0,0,0,0,0,0,0,1.22788808809984,0,0,1.58200090901023,0,2.260185089129,2.48036781967804
Spi1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spon1,0,0,0,0.613988564430847,0.880402905455865,0,0,0,0,0,0,0,0.85162720646293,0,0,0,0,0,0,0
Spon2,0,0.434837247204586,0,0.88129337993757,1.1327674014899,0,0,0.970615258243904,0,0,0,0,1.13459298768475,0,0,0,0,0,0,0
Spp1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sprr2f,0,0,2.89562492620361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sptssa,0,0,0,0,0.752594705685229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sqstm1,0,0.863405155366136,0.827751832978649,1.58278596232005,0.922520613626395,0,0,0.332112507125009,0,0,0,0.982801018940358,0.920623542968853,0,0,1.15775562547608,0,0,0,0
Srgn,0,1.35411947880556,0,0,1.133132024669,1.12517119730738,1.06287518050695,0.662678611305008,2.88742818557997,1.38755760664764,0,2.08568063664747,1.1116821838593,0,2.13355139962559,0,0,0,0,0
Stmn1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.846027991791759,0,0
Sub1,0,1.01808966640448,0.856491814669232,0.358301330515141,0.526865831466255,0,0,0,0,1.60551396043415,0,1.09478629993486,0,0,1.60012972664152,0,0,0.620514253976483,0,0
Tagln2,0,0.583432883183308,0.981111653546045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tbcb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tceal9,0,0,0.407871790847243,0.837369217584931,0.959651723119983,0,0,0.642607252338219,0,0,0,0,0.872704728317348,0,0,0,0,1.53750652296045,0,0
Tcf21,0,0,0,0.50330621119379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tcf4,0,0,0,0,0.623110853585649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tgfbi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tgm2,0,0,0.847616580322416,0,0,0,0,0,1.57990524546951,0,0.89088767510063,0,0,0,0,0,0,0,0,0
Thbd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thbs1,0,0,0,0.874163386106557,0.556322430483268,0,0,0,1.77235419491985,0,0,2.10285730642595,0,0,0,0,0,0,0,0
Thbs2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Timp2,0,0,0,0.46465513526975,0.552459295486479,0,0,0,0,0,0.682926287078118,0,0,0,0,1.06929466580381,0,0,1.43877975449609,0
Timp3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.24156336122496,0,0,0,0
Tm4sf1,0,0,0,0,0,1.61793839305151,0,0,0,0,0.89088767510063,0,0,0,0,1.24422367537097,0,0,0,0
Tmem176a,0,1.22642013843831,0.32425673123311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09525313333348,0,0
