,unassigned,Neonatal-Heart_1,Neonatal-Heart_2,Neonatal-Heart_4,Neonatal-Heart_15,Neonatal-Heart_17,Neonatal-Heart_3,Neonatal-Heart_8,Neonatal-Heart_6,Neonatal-Heart_13,Neonatal-Heart_11,Neonatal-Heart_18,Neonatal-Heart_14,Neonatal-Heart_5,Neonatal-Heart_12,Neonatal-Heart_9,Neonatal-Heart_16,Neonatal-Heart_7,Neonatal-Heart_10
Atp5f1,0,1.0736091085245,0,0,0,0,0,0.912179892493932,0,0,0,0.51600779888988,0,0,0.938588786583304,0,0,0,0
Atp5g1,0,1.33311950166574,0,0,0,0,0,1.29126854175021,0,0,0,0,0.253376458359425,0,1.17069046945085,0,0.934069546377648,0,0
Atp5g3,0,1.05191181659111,0,0,0,0,0,1.23762478398945,0,0,0,0,0,0,1.26898330908792,0,0,0,0
Atp5h,0.659152850054686,1.28608025594398,0,0,0,0.180772107118994,0,1.24069204863151,0,0,0.590585747018922,0.764070608248382,0,0,1.16130153132261,0,0,0,0
Atp5j,1.11267265937792,1.75233762763039,0.964382032689382,1.12390123495779,0.859983489840463,1.0544425013457,1.12276768021008,1.66922998965626,0.764346629418188,0.835081436096146,1.03634959273296,0.785604684651291,0.856837303215292,0.997690776754283,1.44344385679358,0.831754829048496,1.18763435161097,1.01388529090539,0.814774860203311
Atp5j2,1.03063679093537,1.33068025230752,0,0.613184629817831,0,0.339903755156791,0.552199674558979,1.24069204863151,0,0,0.721693761685171,0.473051438099852,0,0.744678259719222,1.21039974832999,0.703985102038541,0,0.969354889998326,0.839392044588222
Atp5k,1.04309857536417,1.57133768292559,0.702292774738549,0,0.776561129384369,0.69017363099115,0.6875368059714,1.31360595240441,0,0.919640785821101,0.670293501733552,0.813031661150883,0.916787633594734,0.853883466880954,1.34470945991632,0.837974367905796,0.669902963803177,1.04797570464506,1.12050775731057
Atp5o,0.910030994643704,1.37349401012503,0,0,0,0,0,1.36747169322927,0,0,0.775472941125576,0.473051438099852,0.278896890808595,0,1.13311752670546,0,0,0.887930872000178,0
Atp6v0e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atp6v1f,0,0,0,0,0,0,0,0,0,0,0,0,0.253376458359425,0,0,0.637743201027948,0,0,0
Atpif1,1.07826942286098,1.25519986422695,0.754338229464041,0,0.252933962968165,0.354161312276841,0.882406135842512,1.16088342754028,0.940310225539807,0,1.03923083049421,0,1.01742868562598,0.847520079956243,1.26972206112654,0.837658395280303,0,1.47577543048882,1.26677615604076
B2m,0,0,0,0.880352588376849,0.631680308334795,0.721174891735178,0.52158556618528,0,0,0.919640785821101,0,0.473051438099852,0.57388215685597,0,0,2.32249483229277,0.666408855269026,0,0
BC100530,0,0,0,0,4.93991696035204,0,0,0,0,0,0,0,0,0,0,0,2.88256593958401,0,0
Bgn,0.823607260057728,0,1.07360936733608,0,0,0,0.435928281818573,0,1.16637796355897,0,0.431877126612187,0.833247929529135,0,1.65377130012828,0,0,0,0,0.814774860203311
Btf3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Btg2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1qb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3211650072547,0,0,0
Cald1,0,0,0,0,0,0,0,0,0.952902331724457,0,0,0,0,0,0,0,0,1.32341945107712,0
Calm1,1.25519986422695,0.781038735148042,1.19792382279874,2.42286416635696,1.36316533895024,2.15850275212504,2.0252283253417,0,1.43610379757044,1.79493725264417,2.00186395447748,2.08010062333074,2.32998029010391,1.32021954610807,0,2.01296528744956,1.46537492055543,1.70216037697269,1.29062441945222
Calm2,0,0,0,0,0,0,0,0,0,0,1.14237089489597,0,0,0,0,0,0,1.05987740075971,0
Capns1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cav1,0,0,0,1.70773238502166,0,1.14137107573358,0.78995230514532,0,1.09682525547457,0,0.514403588541575,1.65637953671867,1.13926849794202,0,0,0,0,1.2741274051031,0
Cd34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cd36,0,0,0,2.13896509099599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cd63,1.04309857536417,0.55779378161719,1.23408868241007,0,0,1.34251908807635,0.83877344450975,0,1.08957575053247,0,0.749554085559777,0.764070608248382,1.24015193735385,1.25663459379725,0,1.24525333788261,1.14827434191496,1.02780493118235,1.28608025594398
Cd81,0,0,0,0.995924519570023,0,0,0,0,0,0,0.659152850054686,0.833247929529135,0.5837850206408,0.742746034355686,0,0,0,0.68385336217674,0.797680528152193
Cd9,0,0,0,0,0,1.0277115732658,0.808993812410485,0,0,0,0,0,0.978129201372452,0,0,0,0,0,0
Cdc42,0,0,0,0,0,0.350269875834359,0,0,0,0,0,0,0,0,0,0.599860191347649,0,0,0
Cdkn1c,0,0,0,0,0,0,1.40645889140211,0,0,0,0,0,0,0,0,0,0,0,0.814774860203311
Cebpd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cfl1,1.10058984522952,0,1.12560638342548,1.34962918381459,1.30145803457733,1.62442208149553,1.25663459379725,0,1.31351094298441,2.02832255753782,1.58070337471245,1.35804957018754,1.55971842616133,1.22790131729573,0,2.06778338056772,1.24244212433804,1.51437075100857,1.33802683118577
Chchd10,0,0.971861695686043,0,0,0,0,0,1.04957526594696,0,0,0,0,0,0,0.995772229124268,0,0,0,0
Chchd2,1.01480104657278,1.24855020247157,0.85088199484956,0.999907778490043,0.901357802099718,0.8441170909172,0.94421491413844,1.33644049068944,0,0.517853609626773,0.878308869479399,0.813031661150883,1.27710997447158,0.924147199379594,1.06315010042182,0.65552795161371,1.1027662201395,1.08035428822148,1.10824684566317
Ckm,0,0.790499227815225,0,0,0,0,0,0.89762109856805,0,0,0,0,0,0,1.13597561629766,0,0,0,0
