,Blood,Vascular,Neurons,Oligos,Immune,Excluded,Astrocytes,Ependymal
ENSMUSG00000030729,0,0,1.28463737277697,0,0,0,0,0
ENSMUSG00000030844,0,0,0,0,2.24616382355171,0,0,0
ENSMUSG00000031144,0,0,2.17465032666615,0,0,0,0,0
ENSMUSG00000031239,0,2.29975599886693,0,0,0,0,0,0
ENSMUSG00000031342,0,0,0,1.91383519112391,0,1.59188774368819,1.62839124460747,0
ENSMUSG00000031425,0,1.22574139057909,1.19452836537403,8.35291444418559,1.36447774212246,7.81161532410352,1.70239355619597,1.19733112692655
ENSMUSG00000031502,0,1.29750678393231,0,0,0,0,0,0
ENSMUSG00000031503,0,0.645505261920532,0,0,0,0,0,0
ENSMUSG00000031517,0,0,1.56583590471306,0,0,0,1.50584224272521,0
ENSMUSG00000031610,0,0,0,0,0,0,0,0
ENSMUSG00000031760,0,0,1.37683360525076,0,0,0,2.33526915637661,2.86147122360401
ENSMUSG00000031762,0,0,0,0,0,0,2.92304679953579,1.48244624347862
ENSMUSG00000031765,0,1.27031949951216,0,1.09550305954128,0,1.95748021367257,4.75721785005127,3.51905592663692
ENSMUSG00000031775,0,0,0,1.47001200386709,0,1.01179448265984,0,0
ENSMUSG00000031778,0,0,0.89259083937566,0,0,0,0,0
ENSMUSG00000031799,0,1.01579638878774,0,0,0,0,0,0
ENSMUSG00000031840,0,0,1.56752108092935,0,0,0,0,0
ENSMUSG00000031980,0,0,0,0,0,0,1.80899947259134,0
ENSMUSG00000032011,0,0,1.91304465107708,0,0,0,0,0
ENSMUSG00000032035,0,0,0,0,0,0,0,0
ENSMUSG00000032060,0,0,0,3.5590714640819,0,2.74430894438467,0,0
ENSMUSG00000032118,0,0,0,1.95600087281131,0,1.32902724336222,0,0
ENSMUSG00000032238,0,0,0.795249970111622,0,0,0,0,0
ENSMUSG00000032281,0,0,0,0,0,0,1.63133260983212,0
ENSMUSG00000032359,0,0,0,0,0,0,0,0
ENSMUSG00000032368,0,0,0.559030852208322,0,0,0,0,0
ENSMUSG00000032434,0,0,0,0,1.26989338248263,0,0,0
ENSMUSG00000032482,0,0,0,0,0,0,0,0
ENSMUSG00000032517,0,0,0,3.8015687756434,0,3.1190977238402,0,0
ENSMUSG00000032532,0,0,0.909727647585478,0,0,0,0,0
ENSMUSG00000032549,0,0,1.36949134683273,0,0,0,0,0
ENSMUSG00000032554,0,0,0,2.68440719157114,1.75474990306525,2.00504571354668,0,0
ENSMUSG00000032698,0,0,0,0,0,0,0,0
ENSMUSG00000032766,0,2.32439357302877,0,1.40627019445279,0,1.20199600381268,0,0
ENSMUSG00000032854,0,0,0,2.5411881521297,0,2.06453527078894,0,0
ENSMUSG00000033061,0,0,0.541177332070858,0,0,0,0,0
ENSMUSG00000033192,0,0,0,0,0,0,0,0
ENSMUSG00000033208,0,0,0,0,0,0,0,1.08526634385826
ENSMUSG00000033579,0,0,0,1.65225581603929,0,1.26349897212006,0,0
ENSMUSG00000033615,0,0,0,0,0,0,0,0
ENSMUSG00000033981,0,0,1.23273824656477,0,0,0.627155336407722,1.6261928926256,0
ENSMUSG00000034000,0,0,0,0,0,0,0,0
ENSMUSG00000034187,0,0,1.50306602226032,0,0,0,0,0
ENSMUSG00000034353,0,0,0,0,0,0,1.49785233781901,1.50246218341475
ENSMUSG00000034730,0,0,0.496203132592988,0,0,0,0,0
ENSMUSG00000034891,0,0,2.02547057799719,0,0,0,0,0
ENSMUSG00000035104,0,0,0,0,0,0,0,0
ENSMUSG00000035640,0,0,1.08586880836221,0,0,0,0,0
ENSMUSG00000035686,0,0,0,0,0,0,0,0
ENSMUSG00000035805,0,0,0,0,0,0,1.40387600083239,1.44627033923352
ENSMUSG00000035864,0,0,1.87218484876778,0,0,0,0,0
ENSMUSG00000036256,0,2.55037397010039,0,0,0,0,0,0
ENSMUSG00000036353,0,0,0,0,3.26420716194178,0,0,0
ENSMUSG00000036402,0,0,0,1.30529320310245,0,0.881864470735434,0,0
ENSMUSG00000036438,0,1.61818798618599,2.90816055797905,1.15065529359815,2.24233958731539,1.34650191231173,0,1.56083243584406
ENSMUSG00000036503,0,0,0,1.28037145104739,0,0.940727539129891,0,0
ENSMUSG00000036564,0,0,2.66365708330811,0,0,0,0,0
ENSMUSG00000036570,0,0,0,0,0,0,0,0.194935397479049
ENSMUSG00000036634,0,0,0,2.75814151150156,0,2.35424348741632,0,0
ENSMUSG00000036777,0,0,0,0,0,0,0,0
ENSMUSG00000036887,0,0,0,0,3.89781717429251,0,0,0
ENSMUSG00000036896,0,0,0,0,3.42127659234518,0,0,0
ENSMUSG00000036905,0,0,0,0,3.57625184663281,0,0,0
ENSMUSG00000037031,0,0,0,0,0,0,0,0
ENSMUSG00000037166,0,0,0,1.78118659895523,0,1.21225571226364,0,0
ENSMUSG00000037242,0,0,0,0,0,0.822691570798268,0,0
ENSMUSG00000037625,0,0,0,3.86117527636406,0,3.37780435450551,0,0
