,Oligos,Neurons,Excluded,Vascular,Blood,Astrocytes,Immune,Ependymal
ENSMUSG00000032854,1.16873173158406,0,0.409508790910706,0,0,0,0,0
ENSMUSG00000032966,1.39064226041563,1.40883392196889,1.26593284279694,0.632119118621765,0,0,0,0
ENSMUSG00000033192,0,0,0,0,0,0,0,0
ENSMUSG00000033208,0,0,0,0,0,0,0,0.770591019967616
ENSMUSG00000033220,0,0,0,0,0,0,0,0
ENSMUSG00000033446,0,0,0,0,0,0,0,0
ENSMUSG00000033579,0,0,0,0,0,0,0,0
ENSMUSG00000033981,0,1.25224016261629,0.750262149735591,0,0,0,0,0
ENSMUSG00000034353,0,0,0,0,0,0,0,1.32104051649723
ENSMUSG00000034708,0,0,0,0,0,0,0,0
ENSMUSG00000034792,0,0,0,0,0,0,0,0
ENSMUSG00000034891,0,1.07837361931135,0,0,0,0,0,0
ENSMUSG00000034892,0.756747771219913,1.6694215477806,1.32310864219749,1.560461596886,2.11125394912324,1.11958975246242,2.66084239644303,1.73754611779537
ENSMUSG00000035104,0,0,0,0,0,0,0,0
ENSMUSG00000035352,0,0,0,0,0,0,0,0
ENSMUSG00000035385,0,0,0,0,0,0,0,0
ENSMUSG00000035783,0,0,0,0,0,0,0,0
ENSMUSG00000035805,0,0,0,0,0,0,0,1.13684274117521
ENSMUSG00000035864,0,0.88064709222369,0,0,0,0,0,0
ENSMUSG00000035885,0.679533932785213,1.77687593601807,1.46628757571711,1.03279011723617,0,1.79868224855713,0,1.5884537716797
ENSMUSG00000036256,0,0,0,1.82403013616933,0,0,0,0
ENSMUSG00000036353,0,0,0,0,0,0,2.55656293155791,0
ENSMUSG00000036402,0,0,0.471170481964804,0,0,0,0,0
ENSMUSG00000036438,0,2.62664819622798,1.43743476057165,1.28345349093564,0,0,1.47168430212019,1.37513399823303
ENSMUSG00000036564,0,1.42596677546781,0.537261774389802,0,0,0,0,0
ENSMUSG00000036570,0,0,0,0,0,0,0,0
ENSMUSG00000036634,1.6271954739511,0,0.980512119918036,0,0,0,0,0
ENSMUSG00000036887,0,0,0,0,0,0,3.19388642738398,0
ENSMUSG00000036896,0,0,0,0,0,0,2.98846663073648,0
ENSMUSG00000036905,0,0,0,0,0,0,3.0223925249492,0
ENSMUSG00000036908,0,0,0,0,0,0,0,0
ENSMUSG00000037031,0,0,0,0,0,0,0,0
ENSMUSG00000037152,0,1.1687313854862,0.794714984806118,0,0,0,0,1.21319173839467
ENSMUSG00000037166,0,0,0,0,0,0,0,0
ENSMUSG00000037242,0,0,0,0,0,0,0,0
ENSMUSG00000037625,2.59391865145655,0,1.80649893174507,0,0,0,0,0
ENSMUSG00000037706,2.23311409603773,0,1.49619677518386,2.0311198988479,0,2.29990130840079,3.08428792999391,1.21722767120522
ENSMUSG00000037727,0,0,0,0,0,0,0,0
ENSMUSG00000037771,0,0,0,0,0,0,0,0
ENSMUSG00000037852,0,0,0.562555045776971,0,0,2.47479460759773,0,1.17999506365507
ENSMUSG00000037960,0,0,0,0,0,0,0,0
ENSMUSG00000038235,0,0,0,0,0,0,0,0
ENSMUSG00000038274,0.545346392072129,1.24558717573591,1.26624464293769,1.31187312945159,0,0,2.10142188062199,1.22572787874658
ENSMUSG00000038312,0,0,0,0,0,0,0,0
ENSMUSG00000038370,0,0,0,0,0,0,0,0
ENSMUSG00000038393,0,0,0,0,0,0,0,0
ENSMUSG00000038543,0,0,0,0,0,0,0,0
ENSMUSG00000038642,0,0,0,0,0,0,3.30741032769822,0
ENSMUSG00000038668,0,0,0,0,0,0,0,0
ENSMUSG00000038695,0.81381358429158,0,0.279750313424062,0,0,0,0,0
ENSMUSG00000038717,0,0,0,0,0,0,0,0
ENSMUSG00000038811,0,0,0,0,0,0,0,0
ENSMUSG00000039001,0,0.895502729411811,0.62051917765277,0,0,0,0,0.707418779408932
ENSMUSG00000039278,0,1.53426531773598,0.738279150296187,0,0,0,0,0
ENSMUSG00000039323,0,0,0,0,0,0,0,0
ENSMUSG00000039533,0,0,0,0,0,1.46462495733106,0,0
ENSMUSG00000040055,0,0,0,0,0,0,0,0
ENSMUSG00000040229,0,0,0,0,0,0,0.617550408124941,0
ENSMUSG00000040280,0,0,0,0,0,0,0,0
ENSMUSG00000040584,0,0,0,0,0,0,0,0
ENSMUSG00000040747,0,0,0,0,0,0,0,0
ENSMUSG00000040759,0,0,0,0,0,0,0,0
ENSMUSG00000040785,0,1.70780520294908,0.967124009422929,0,0,0,0,0
ENSMUSG00000040952,1.36106327627127,2.25241548690807,1.77892727160904,2.50619629774705,2.32038746199828,1.41718874896459,2.57822588891917,2.1425908329628
ENSMUSG00000041309,0,0,0,0,0,0,0,0
ENSMUSG00000041329,0,0,0,0,0,1.38085061579005,0,0
ENSMUSG00000041378,0,0,0,2.35208656584171,0,0,0,0
ENSMUSG00000041515,0,0,0,0,0,0,0,0
ENSMUSG00000041556,0,0,0,0,0,0,0,0
ENSMUSG00000041571,1.16780374468229,2.24728833769599,1.78550553336531,0,0,1.37294881775979,0,1.45863226551484
ENSMUSG00000041607,3.71358352833002,0,2.73565752074618,0,0,0,0,0
ENSMUSG00000041841,0.771506408472523,2.04403459690164,1.64412298516878,1.59205986169946,0,1.07876613428301,1.81302211569607,1.73754611779537
ENSMUSG00000042079,0,0,0,0,0,0,0,0
ENSMUSG00000042116,0,0,0,0,0,0,0,0
ENSMUSG00000042312,0,0,0,0,0,0,0,0
ENSMUSG00000042613,0,0,0,0,0,0,0,0
ENSMUSG00000042745,0,0,0,0,0,0,0,0
ENSMUSG00000042750,0,1.65880351656104,0.553788628731886,0,0,0,0,0
ENSMUSG00000043419,0,0.885600107065844,0,0,0,0,0,0
ENSMUSG00000043496,0,0,0,0,0,0,0,0
ENSMUSG00000043953,0,0,0,0,0,0,0,0
ENSMUSG00000044080,0,0,0,0,0,0,0,0
ENSMUSG00000044258,0,0,0,0,0,0,0,0
ENSMUSG00000044349,0,2.0079775811933,1.12300472612658,0,0,0,0,0
ENSMUSG00000044708,0,0,0,0,0,0,0,0
ENSMUSG00000044786,0,0,0,0,0,0,0,0
ENSMUSG00000044811,0,0,0,0,0,0,0,0
ENSMUSG00000044894,0,1.38350632914267,0.995039274014114,0,0,0,0,1.4228183167799
ENSMUSG00000045092,0,0,0,0,0,0,0,0
ENSMUSG00000045573,0,0,0,0,0,0,0,0
ENSMUSG00000045763,0,0,0,0,0,0,0,0
ENSMUSG00000046160,1.06737541236157,0,0.624902505947982,0,0,0,0,0
ENSMUSG00000046330,0.665392835929594,1.76619382494957,1.51788886496955,1.65682955766912,1.29431483198294,1.0829716400258,2.10358790123158,1.64057722174999
ENSMUSG00000046447,0,0.38477072772028,0,0,0,0,0,0
ENSMUSG00000047261,0,1.53946443018226,0.40488278390347,0,0,0,0,0
ENSMUSG00000047557,0,0,0,0,0,0,0,0
