,Excluded,Vascular,Immune,Oligos,Blood,Neurons,Astrocytes,Ependymal
ENSMUSG00000029309,1.39253422461189,1.99375260501549,0,0,0,0,3.60327958857511,1.3751892096881
ENSMUSG00000029471,0.333051658306056,0,0,0,0,1.19945249144784,0,0
ENSMUSG00000029484,0,1.08575880932003,0,0,0,0,0,0
ENSMUSG00000029570,0,0,0,0,0,0,0,0
ENSMUSG00000029622,0,1.57798140468066,1.79297567786367,0.967743781824199,0,0,0,0
ENSMUSG00000029648,0,2.4317477134585,0,0,0,0,0,0
ENSMUSG00000029723,1.11630253291506,0,0,2.10603610452597,0,0,2.32119931992703,1.04234991684694
ENSMUSG00000029761,0,0,0,0,0,0,0,0
ENSMUSG00000029810,0,0,1.18900659637634,0,0,0,0,0
ENSMUSG00000029819,0,0,0,0,0,0,0,0
ENSMUSG00000029838,2.47392824706992,2.42204420423541,0,2.39128846289499,0,1.30573741927891,3.50186434128153,0
ENSMUSG00000030209,0.541980203025084,0,0,0,0,1.76635054028031,0,0
ENSMUSG00000030218,0,0,0,0,0,0,0,0
ENSMUSG00000030220,0,0,0.981114986105097,0,0,0,0,0
ENSMUSG00000030235,0,1.55059167021834,0,0,0,0,1.30335501506843,0
ENSMUSG00000030237,0,1.73119118264267,0,0,0,0,0,0
ENSMUSG00000030246,1.39836338841575,0,1.66373938810566,0,0,1.07980237399766,2.2749550927892,1.65371036346882
ENSMUSG00000030302,0.394573438199399,0,0,0,0,1.44959675536635,0,0
ENSMUSG00000030307,0,0,0,0,0,0,1.17653532598289,0
ENSMUSG00000030310,0,0,0,0,0,0,1.62449777174347,0
ENSMUSG00000030317,0,0,0,0,0,0,0,0
ENSMUSG00000030342,0,0,1.65452602376053,1.95708160087924,0,0,0,1.64505086918957
ENSMUSG00000030413,0,1.86685169849108,0,0,0,0,0,0
ENSMUSG00000030428,0.842334182423161,0,0,0,0,0,1.96732566495018,0
ENSMUSG00000030495,0,0,0,0,0,0,1.59645997418069,0
ENSMUSG00000030560,0,0,0,0,0,0,0,0
ENSMUSG00000030579,0,0,3.28451552219967,0,0,0,0,0
ENSMUSG00000030605,0,0,0,0,0,0,2.73746658829065,0
ENSMUSG00000030695,2.23740304612162,1.47842038551515,0,1.44173239076642,0,2.19085068651191,1.89169269670136,1.48269515701223
ENSMUSG00000030717,0,0,0,0,0,0,0,0
ENSMUSG00000030729,0,0,0,0,0,0.801498991857732,0,0
ENSMUSG00000030844,0,0,2.56301433955688,0,0,0,0,0
ENSMUSG00000031144,0.436185869224651,0,0,0,0,1.78354911135444,0,0
ENSMUSG00000031239,0,3.01145507809113,0,0,0,0,0,0
ENSMUSG00000031342,1.69244832112914,0,0,2.4317477134585,0,1.16948563456846,2.15370895685983,0.800699413602242
ENSMUSG00000031425,3.51316153593961,0,0,7.66463484329145,0,0,0,0.981489414986166
ENSMUSG00000031447,1.46695934415178,1.15973501640987,1.99000358347145,2.29542597033028,0,0,1.5911089734152,1.13031421975904
ENSMUSG00000031517,1.72963455499644,0,0,0,0,2.03113423086242,2.43117444583774,0
ENSMUSG00000031604,0,0,0,0,0,0,1.74336219851451,0
ENSMUSG00000031610,0,0,0,0,0,0,1.20903007635129,0
ENSMUSG00000031708,1.77608821659091,0,0,1.9343490848476,0,1.51039011198864,1.44251512997107,1.28600797591719
ENSMUSG00000031760,1.45118079034318,0,0,0,0,1.27307117068506,3.52778312299677,4.30017180190448
ENSMUSG00000031762,0,0,0,0,0,0,3.10397906581768,2.27478523760573
ENSMUSG00000031765,1.56229026650862,1.80123529628439,0,0.922056844099877,0,0,4.85342551113422,4.05952883361845
ENSMUSG00000031775,0,0,0,2.24493647242396,0,0,0,0
ENSMUSG00000031778,0,0,0,0,0,1.28279505289197,0,0
ENSMUSG00000031799,0,1.07684969203279,0,0,0,0,0,0
ENSMUSG00000031840,1.4281469147941,0,0,0,0,1.91852717558384,0,0
ENSMUSG00000032011,0.771921650228998,0,0,0,0,1.6457715198317,0,0
ENSMUSG00000032014,0,0,0,0,0,0,0,0
ENSMUSG00000032060,1.64507564322536,0,0,3.99461084889603,0,0,0,0
