,Blood,Immune,Neurons,Vascular,Excluded,Oligos,Astrocytes,Ependymal
ENSMUSG00000031231,0,0,0,0,0.53323585040197,0,0,0
ENSMUSG00000031239,0,0,0,1.27551477691328,0,0,0,0
ENSMUSG00000031320,0,1.69908706014649,0,1.32406890292464,0.769377500027557,0.640769581164387,0,0
ENSMUSG00000031342,0,0,0,0,1.12023343765031,0.857086448394875,1.47417409220948,0.822963894063683
ENSMUSG00000031425,0,0,0,0,0.371599703999221,6.64141872111493,0,0
ENSMUSG00000031447,0,0.929296648922821,0,0,0.673645796479835,0.790927392331931,1.04867760834306,0.41104801475721
ENSMUSG00000031517,0,0,0,0,0,0,1.16455356350021,0
ENSMUSG00000031654,0,0,0,0,0,0,0,0
ENSMUSG00000031760,0,0,0,0,0,0,1.50015084423426,2.19076942179445
ENSMUSG00000031762,0,0,0,0,0.158216873957637,0,1.67702364676359,1.247689365576
ENSMUSG00000031765,0,0,0,0,1.17813964378083,0.390394563657196,2.93006042066956,2.98767033070245
ENSMUSG00000031839,0,0,0,0,0,0.80010505024417,0,0.730577112751978
ENSMUSG00000031840,0,0,0,0,0,0,0,0
ENSMUSG00000032060,0,0,0,0,0,2.55595173308349,0,0
ENSMUSG00000032076,0,0,0,0,0,0,0,0
ENSMUSG00000032118,0,0,0,0,0.158216873957637,0.970482534591623,0,0.297603861245823
ENSMUSG00000032181,0,0,0,0,0.13304998664851,0,1.27123280907134,0.570777666131645
ENSMUSG00000032199,0,0,0,0,0,0,0,0
ENSMUSG00000032281,0,0,0,0,0,0,0.796487903878812,0
ENSMUSG00000032324,0,0,0,0,0,0.649155400858056,0.925822245352047,0.570777666131645
ENSMUSG00000032368,0,0,0,0,0.291266860606148,0,0,0
ENSMUSG00000032407,0,0,0,0,0,0,0,0
ENSMUSG00000032482,0,0,0,0,0,0,0,0
ENSMUSG00000032503,0,0,0,0,0,0,0,0
ENSMUSG00000032517,0,0,0,0,0.684025688728876,2.38425545024823,0,0
ENSMUSG00000032554,0,0,0,0,0,1.0929333506943,0,0
ENSMUSG00000032766,0,0,0,1.28926559817035,0.166718158381519,0.55185282887212,0,0
ENSMUSG00000032826,0,0,0,0,0,0,0.91637972293311,0
ENSMUSG00000032966,0,0,0,0.653358919436504,1.00741246903097,1.10225837837984,0,0
ENSMUSG00000033004,0,0,0,0,0,0,0,0
ENSMUSG00000033021,0,0,0,0,0,0,0,0
ENSMUSG00000033066,0,0,0,0,0,0,0,0
ENSMUSG00000033161,0,0,0,0,0.41595198117168,0,0,1.27869588730636
ENSMUSG00000033208,0,0,0,0,0,0.374135773592273,1.01786209470786,0.822963894063683
ENSMUSG00000033615,0,0,0,0,0,0,0,0
ENSMUSG00000033768,0,0,0,0,0,0,0,0
ENSMUSG00000033863,0,0,0,0,0,0,0,0.620226565423583
ENSMUSG00000033981,0,0,0,0,0,0,0,0
ENSMUSG00000033998,0,0,0,0,0,0,0,0
ENSMUSG00000034187,0,0,0,0,0,0,0,0
ENSMUSG00000034336,0,0,0,0,0,0,0,0
ENSMUSG00000034614,0,0,0,0,0,0,0,0
ENSMUSG00000034647,0,0,0,0,0.158216873957637,0,0,0
ENSMUSG00000034656,0,0,0,0,0,0,0,0
ENSMUSG00000034701,0,0,0.797090960718285,0,0,0,0,0
ENSMUSG00000034765,0,0,0,0,0,0,0,0
ENSMUSG00000034891,0,0,1.06047064391002,0,0,0,0,0
ENSMUSG00000035199,0,0,0,0,0,0,0,0
ENSMUSG00000035686,0,0,0,0,0,0,0,0
ENSMUSG00000035805,0,0,0,0,0,0,0.930757201656732,1.2962941122471
ENSMUSG00000035864,0,0,0,0,0,0,0,0
ENSMUSG00000035964,0,0,0,0,0,0,0,0
ENSMUSG00000036256,0,0,0,1.60798868288987,0,0,0,0
ENSMUSG00000036438,1.66742105407953,1.15380515745471,2.20766993468532,0.907919104865921,0.460262966438251,0.792706001133031,0,1.07663254779135
ENSMUSG00000036564,0,0,0,0,0,0,0,0
