,Oligos,Excluded,Neurons,Vascular,Astrocytes,Ependymal,Immune,Blood
ENSMUSG00000027438,0,0,0,0,0,0,0,0
ENSMUSG00000027447,0.969154778029079,4.61637943943171,0.819465537961688,2.02933145791249,5.27693946158101,1.70789864181882,7.48634521105411,0
ENSMUSG00000027500,0,0,0,0,0,0,0,0
ENSMUSG00000027533,0.617922743465494,0,0,0,0,0,0,0
ENSMUSG00000027562,1.77071973421142,0.764788134419485,0,0,0,0,0,0
ENSMUSG00000027574,0,0,0,0,0,0.83150020092973,0,0
ENSMUSG00000027581,0,0,1.42314613905357,0,0,0,0,0
ENSMUSG00000027797,0,0.445900542057436,0,0,0,0,0,0
ENSMUSG00000027805,0,0.193504849210489,0.44886966788902,0,0,0,0,0
ENSMUSG00000027849,0,0,0,0,0,0,0,0
ENSMUSG00000027858,1.2488396703561,0,0,0,0,0,0,0
ENSMUSG00000028128,0,0,0,0,0,0,0,0
ENSMUSG00000028161,0,0.733420263500875,0,0,0,0,0,0
ENSMUSG00000028266,0,0,0,0,0.790504547249073,0.539401325393131,0,0
ENSMUSG00000028445,0,0,0,0,0.978371756245862,0,0,0
ENSMUSG00000028517,0,1.41369497372902,0,0,1.45686012046405,0,0,0
ENSMUSG00000028581,0,0,0,0,0,0,1.47923185238261,0
ENSMUSG00000028639,1.27334450686515,1.04544390338411,1.39930463233359,1.64321089369195,0.816425168975702,0.882279658747662,1.33591334007769,0
ENSMUSG00000028691,0.57728184044017,0.465211244301455,0,0,1.12021609102296,0,0,0
ENSMUSG00000028780,0,0,0,0,0,0,0,0
ENSMUSG00000028833,0,0.19997186462561,0,0,0,0,0,0
ENSMUSG00000028988,0,0.654294638771097,0,0,0.864876217634863,0,0,0
ENSMUSG00000029121,0,0,0,0,0,0,0,0
ENSMUSG00000029126,0,0,1.06932725595107,0,0,0,0,0
ENSMUSG00000029245,0,0.211908095448266,0.984161125060681,0,0,0,0,0
ENSMUSG00000029309,0,1.54279636836236,0,1.15499027008195,2.57411909852416,0,0,0
ENSMUSG00000029471,0,0,0,0,0,0,0,0
ENSMUSG00000029516,0,0,0,0,0,0,0,0
ENSMUSG00000029580,1.30389027028186,1.34345774148538,1.08504380179129,1.30537798260626,0,0.735138250136455,1.57396500559006,0
ENSMUSG00000029622,0,0,0,1.10429302650974,0,0,1.40038605336017,0
ENSMUSG00000029648,0,0,0,1.88026046873513,0,0,0,0
ENSMUSG00000029723,1.48031580436303,1.02979372863748,0,0,1.57956807696229,1.11723111280169,0,0
ENSMUSG00000029755,0,0,0,0,0,0,0,0
ENSMUSG00000029757,0,0,0,0,0,0,0,0
ENSMUSG00000029810,0,0,0,0,0,0,1.21085119275864,0
ENSMUSG00000029819,0,0,0,0,0,0,0,0
ENSMUSG00000029838,2.1154053853061,2.06594458189095,0,2.20204135097478,3.5741024871193,0,0,0
ENSMUSG00000030209,0,0,1.12021609102296,0,0,0,0,0
ENSMUSG00000030235,0,0,0,0.995604971237599,0,0,0,0
ENSMUSG00000030237,0,0,0,1.21244041625615,0,0,0,0
ENSMUSG00000030246,0,0.764788134419485,1.04351806831433,0,1.27452291420416,1.42576612560659,0,0
ENSMUSG00000030302,0,0,0,0,0,0,0,0
ENSMUSG00000030307,0,1.57568563747945,0,0,0.830895886654698,0,0,0
ENSMUSG00000030310,0,0.981675267697382,0,0,0,0,0,0
ENSMUSG00000030342,0.77012336001505,0,0,0,0.85221684155161,1.56014616102836,1.29858888107802,0
ENSMUSG00000030413,0,0,0,1.39392439498436,0,0,0,0
