,Vascular,Blood,Neurons,Excluded,Oligos,Astrocytes,Ependymal,Immune
ENSMUSG00000035551,0,0,0,0,0,0,0,0
ENSMUSG00000035686,0,0,0,0,0,0,0,0
ENSMUSG00000035805,0,0,0,0,0,1.43229953354192,1.67180531821852,0
ENSMUSG00000035864,0,0,1.12551295255718,0.474838583528232,0,0,0,0
ENSMUSG00000036256,2.3886636702181,0,0,0,0,0,0,0
ENSMUSG00000036353,0,0,0,0,0,0,0,3.31116531901004
ENSMUSG00000036402,0.768338397238201,0,0,0.974914217747933,1.59242903906762,1.51019328742549,0,0
ENSMUSG00000036438,1.46132401930173,0,3.01558837440819,1.77831008255164,1.11068044725636,0,1.5479596085729,1.84640500109005
ENSMUSG00000036503,0,0,0,0,0.562565672788173,0,0,0
ENSMUSG00000036564,0,0,1.83846669206136,1.00354091912328,0,0,0,0
ENSMUSG00000036570,0,0,0,0,0,0,0,0
ENSMUSG00000036634,0,0,0,0.683416483756631,1.87541862891684,0,0,0
ENSMUSG00000036887,0,0,0,0,0,0,0,3.62104972631693
ENSMUSG00000036896,0,0,0,0,0,0,0,3.13554957648423
ENSMUSG00000036905,0,0,0,0,0,0,0,3.27527600500374
ENSMUSG00000036908,0,0,0,0,0,0,0,1.28116891112059
ENSMUSG00000037031,0,0,0,0,0,0,0,0
ENSMUSG00000037166,0,0,0,0,1.51511234699077,0,0,0
ENSMUSG00000037624,0,0,0,0,0,0,0,0
ENSMUSG00000037625,0,0,0,1.49612268834099,2.82107814742018,0,0,0
ENSMUSG00000037706,1.82623574742598,0,0,1.60859822206925,2.55922303280883,2.4475835721652,1.27319566013284,3.21432921842786
ENSMUSG00000037771,0,0,0,0,0,0,0,0
ENSMUSG00000037852,0,0,0,0.759156632710562,0,2.53873948771931,2.09819573053455,0
ENSMUSG00000037960,0,0,0,0,0.569574702745112,0,0,0
ENSMUSG00000038128,0,0,0,0,0,0,0,0
ENSMUSG00000038370,0,0,0,0,0,0,1.23000266181046,0
ENSMUSG00000038543,0.920440381742528,0,0,0,0,0,0,0
ENSMUSG00000038642,0,0,0,0,0,0,0,3.6703221235496
ENSMUSG00000038695,0,0,0,0.483867517285025,1.18317654726696,0,0,0
ENSMUSG00000038717,0,0,0,0,0,0,0,0
ENSMUSG00000038811,0,0,0,0,0,0,0,0
ENSMUSG00000039278,0,0,1.94634598997815,1.15141006106268,0.758385560531135,0,0,0
ENSMUSG00000039323,0,0,0,0,0,0,0,0
ENSMUSG00000039533,0,0,0,0.279047858561654,0,1.62527065831116,0,0
ENSMUSG00000039830,0,0,0,0,0,0,0,0
ENSMUSG00000040010,0.591938066798354,0,0,0,0,0,0,0
ENSMUSG00000040204,0,0,0,0,0,0,0,0
ENSMUSG00000040229,0,0,0,0,0,0,0,1.59980634119028
ENSMUSG00000040280,0,0,0,0,0,0,0,0
ENSMUSG00000040584,0,0,0,0,0,0,0,0
ENSMUSG00000040747,0,0,0,0,0,0,0,0
ENSMUSG00000040759,0,0,0,0,0,0,0,0
ENSMUSG00000040785,0,0,1.97408047157137,1.34965347086682,0,0,0,0
ENSMUSG00000040856,0,0,0,0,0,0,0,0
ENSMUSG00000041126,1.03763735471958,0,0,0.439194955018537,0,0,1.56071962152966,0
ENSMUSG00000041309,0,0,0,0,0,0,0,0
ENSMUSG00000041329,0,0,0,0.444018131603459,0,1.68937451545482,0,0
ENSMUSG00000041378,3.20630536621447,0,0,0,0,0,0,0
ENSMUSG00000041515,0,0,0,0,0,0,0,0
ENSMUSG00000041556,0,0,0,0,0,0,0,0
ENSMUSG00000041571,1.67795971315239,0,2.61920263012473,2.29261121615184,1.89166565547231,1.74464394467181,1.69813777148153,0
ENSMUSG00000041607,0,0,0,2.80931832093215,4.47377604609598,0,0,0
ENSMUSG00000041889,0,0,0,0.708284434333238,1.25481260550502,0,0,0
ENSMUSG00000042045,0,0,0,0,0,0,0,0
ENSMUSG00000042116,1.36917552762693,0,0,0,0,0,0,0
ENSMUSG00000042312,0.81923903131595,0,0,0,0,0,0,0
ENSMUSG00000042613,0,0,0,0,0,0,0.50026241598483,0
ENSMUSG00000042745,1.02314132353052,0,0,0,0,0,0,0
ENSMUSG00000042750,0,0,1.99189647640042,0.950989705520969,0,0,0,0
ENSMUSG00000043419,0,0,1.03360842666618,0.236356043383673,0,0,0,0
ENSMUSG00000043496,0,0,0,0,0,0.795173863519877,0,0
ENSMUSG00000044080,0,0,0,0,0,1.36719607211521,0.405994091477947,0
ENSMUSG00000044258,0.965744803381548,0,0,0,0,0,0,0
ENSMUSG00000044349,0,0,2.54976197997064,1.83720365417523,0,0,0,0
ENSMUSG00000044667,0,0,0.760558325525467,0,0,0,0,0
ENSMUSG00000044708,0,0,0,0.448020437220646,0,0,0.695946995671197,0
ENSMUSG00000044986,0,0,0,0,0,0,0,0
ENSMUSG00000045092,0,0,0,0,0,0,0,0
ENSMUSG00000045128,1.2308971413382,0,0,0.490372985984584,0,0,0.486824167081836,1.35286559774245
ENSMUSG00000045136,0,0,0,0,0,0,0,0
ENSMUSG00000045532,0,0,0,0,0,0,0,0
ENSMUSG00000045573,0,0,0,0,0,0,0,0
ENSMUSG00000045608,0,0,0,0,0,0,0,0
