,Excluded,Vascular,Oligos,Neurons,Immune,Astrocytes,Blood
ENSMUSG00000035199,1.01226039575183,1.31561993839565,0,1.34767629175116,0,0,0
ENSMUSG00000035237,0,0,0,0,0,0,0
ENSMUSG00000035376,0,0,0,0,0,1.40758908538286,0
ENSMUSG00000035686,0,0,0,0,0,1.54956334289896,0
ENSMUSG00000035805,0,0,0,0,0,1.76192895794745,0
ENSMUSG00000035864,1.93907133817595,0,0,2.66088302893668,0,0,0
ENSMUSG00000036256,0,3.33514310185823,0,0,0,0,0
ENSMUSG00000036353,0,0,0,0,3.93510406716842,0,0
ENSMUSG00000036402,0.658239576222402,0,1.78877477293325,0,0,1.60195049905191,0
ENSMUSG00000036438,3.31566731233044,2.39450128139419,2.18810867532544,4.09587380709672,3.30143198800838,2.1224057883182,2.22476939411925
ENSMUSG00000036503,0,0,1.61230511878561,0,0,0,0
ENSMUSG00000036564,1.36952637182354,0,0,1.91561374692822,0,0,0
ENSMUSG00000036578,0.72742959958913,0,0,1.33007418012779,0,0,0
ENSMUSG00000036634,0,0,3.19613884508197,0,0,0,0
ENSMUSG00000036887,0,0,0,0,4.77724078123964,0,0
ENSMUSG00000036896,0,0,0,0,4.15010178568597,0,0
ENSMUSG00000036905,0,0,0,0,4.27790852197474,0,0
ENSMUSG00000036908,0,0,0,0,1.69696684977845,0,0
ENSMUSG00000036949,0,0,0,0,0,0,0
ENSMUSG00000037031,0,0,1.10249103600788,0,0,0,0
ENSMUSG00000037166,0,0,3.03276105616176,0,0,0,0
ENSMUSG00000037242,0,0,0,0,0,0,0
ENSMUSG00000037428,0,0,0,0.515927705597574,0,0,0
ENSMUSG00000037601,1.50002819103618,0,0.952538920717424,1.90572990193052,0,0,0
ENSMUSG00000037624,0,0,0,0,0,0,0
ENSMUSG00000037625,0,0,4.20867651999023,0,0,0,0
ENSMUSG00000037706,2.25713334406288,2.68617309165166,4.19890116459798,1.18227766302695,3.64108998367395,3.30214957380686,0
ENSMUSG00000037712,0,1.48866453518625,0,0,0,1.6482138292853,0
ENSMUSG00000037742,2.21698854227161,2.74404946415308,2.43351797369654,1.7433175146425,2.87914038065738,1.57375688417579,0
ENSMUSG00000037771,0,0,0,0,0,0,0
ENSMUSG00000037852,1.87955517814759,0,0,1.92820962165526,0,3.07349234751019,0
ENSMUSG00000038128,0.509637223417178,0,0,0.917626121092885,0,0,0
ENSMUSG00000038370,0,0,0,0,0,0,0
ENSMUSG00000038486,1.27339275897657,0,1.03880532987271,1.49560765859302,0,0,0
ENSMUSG00000038530,0.658403325208379,0,0,1.12117506687279,0,0,0
ENSMUSG00000038543,0,1.18193831678108,0,0,0,0,0
ENSMUSG00000038619,0.846274613482291,0,0,1.46042773655572,0,0,0
ENSMUSG00000038642,0,0,0,0,4.58671311913544,0,0
ENSMUSG00000038695,0,0,2.22574708782569,0,0,0,0
ENSMUSG00000039114,0.604012041423663,0,0,1.49566438373652,0,0,0
ENSMUSG00000039195,1.6698674694985,0,0,2.31052654164696,0,0,0
ENSMUSG00000039217,0,0,0,0,0,0,0
ENSMUSG00000039278,2.07341886525628,0,1.26415379709333,2.81039060195238,0,0,0
ENSMUSG00000039323,0,0,0,0,0,2.09630941623657,0
ENSMUSG00000039533,0,0,0,0,0,2.03947567556799,0
ENSMUSG00000039830,0,0,0,0,0,0,0
ENSMUSG00000039904,0,0,1.10713042792073,0,0,0,0
ENSMUSG00000039953,2.00819814226995,0,0,2.37069818116443,0,0,0
ENSMUSG00000040010,0,1.68181453557619,0,0,0,0,0
ENSMUSG00000040055,0,0,0,0,0,1.64401231495812,0
ENSMUSG00000040229,0,0,0,0,1.90107366987275,0,0
ENSMUSG00000040280,0,0,0,0,0,0,0
ENSMUSG00000040584,0,1.70650523097329,0,0,0,0,0
ENSMUSG00000040759,0,0,1.62227156680839,0,0,0,0
ENSMUSG00000040785,2.2693430137819,0,0,2.77977004154913,0,0,0
ENSMUSG00000040952,2.52740064337254,3.8392480483709,2.35483753396088,2.24521277322865,3.73523287345496,1.86770085586387,1.87142570070165
ENSMUSG00000041309,0,0,1.35434436524502,0,0,0,0
ENSMUSG00000041313,0,1.81795624718386,0,0,0,0,0
ENSMUSG00000041329,0.544657960582931,0,0,0,0,2.65670514572309,0
ENSMUSG00000041378,0,4.40514782510448,0,0,0,0,0
ENSMUSG00000041556,0,0,0,0,0,1.7612775233679,0
ENSMUSG00000041571,3.24776381921705,2.38005997606156,2.71504927828854,3.82542188107501,1.5167744132736,2.69447053735593,0
ENSMUSG00000041607,0.6349609054981,0,5.19831712612729,0,0,0,0
ENSMUSG00000041773,0.419479322702053,0,0,0.781586301631681,0,0,0
ENSMUSG00000042116,0,2.04931107850423,0,0,0,0,0
ENSMUSG00000042312,0,1.44463228483259,0,0,0,0,0
ENSMUSG00000042613,0,0,0,0,0,0,0
ENSMUSG00000042675,1.82310027689724,1.42923538673764,1.41882884917113,2.2474209038457,1.74452758190489,0,0
ENSMUSG00000042745,0,2.30284346556867,0,0,0,0,0
ENSMUSG00000042750,1.46863059720706,0,0,2.28414600104422,0,0,0
ENSMUSG00000043419,0.694001708699157,0,0,1.4319143511898,0,0,0
ENSMUSG00000043496,0,0,0,0,0,1.68889785941061,0
ENSMUSG00000044080,0,0,0.586056610525553,0,0,1.97800865797043,0
ENSMUSG00000044252,1.26131269936996,0,1.1261053978886,1.57948325259262,0,0,0
ENSMUSG00000044258,0,1.69276045615571,0,0,0,0,0
ENSMUSG00000044349,2.9914610599357,0,0,3.98636080903749,0,0,0
