,Oligos,Excluded,Neurons,Immune,Blood,Vascular,Astrocytes,Ependymal
ENSMUSG00000045532,0,0,0,0,0,0,0,0
ENSMUSG00000045573,0,0,0,0,0,0,0,0
ENSMUSG00000045763,0,0.597592059803019,0.915771629646032,0,0,0,0,0
ENSMUSG00000046160,1.50625144577818,0.903802924822161,0,0,0,0,0,0
ENSMUSG00000046432,0,0.786254742137224,1.65599681311242,0,0,0,0,0
ENSMUSG00000047215,1.27621252175152,1.74670912127088,2.21079751048171,2.42355912000326,0,2.47204835742738,0,1.83452809216005
ENSMUSG00000047261,0,0.911477750090933,1.97269159758122,0,0,0,0,0
ENSMUSG00000047557,0,0,0,0,0,0,0,0
ENSMUSG00000047797,0,0,0,0,0,0,0,0
ENSMUSG00000047945,1.1818554501225,0.898921618749019,0,0,0,0,0,0
ENSMUSG00000048001,0,0,0,0,0,0,0,0
ENSMUSG00000048163,0,0,0,1.94830055154104,0,0,0,0
ENSMUSG00000048251,0,0,0,0,0,0,0,0
ENSMUSG00000048978,0,0,0.518416403759086,0,0,0,0,0
ENSMUSG00000049422,0,0.790899904033906,1.62383989824124,0,0,0,0,2.08428153377066
ENSMUSG00000049775,3.07883192493547,2.82531222361479,2.35419985436169,4.75574500404347,1.85986140585604,4.62148236261915,0,0.530757766138515
ENSMUSG00000050121,0,0,0,0,0,0,0,0
ENSMUSG00000050212,0,0,0,0,0,0,0,0
ENSMUSG00000050708,3.33364507110414,2.58159910917676,1.78867184425299,4.7373918581711,2.50068923614136,3.44564992023279,2.20374032784287,2.30770312064954
ENSMUSG00000050711,0,0,0,0,0,0,0,0
ENSMUSG00000050732,0,0,0,0,0,0,0,0
ENSMUSG00000050953,0,0,0,0,0,0,1.95564933650654,0
ENSMUSG00000051107,0,0,0,0,0,0,0,0
ENSMUSG00000051391,0,0.761354180083917,1.15090770078305,0,0,0,0,0
ENSMUSG00000051439,0,0,0,0,0,0,0,0
ENSMUSG00000052160,0,0,0,0,0,0,0,0
ENSMUSG00000052229,0,0,0,0,0,0,0,0
ENSMUSG00000052305,0,0,0,0,0,0,0,0
