,Neurons,Excluded,Vascular,Immune,Oligos,Ependymal,Astrocytes,Blood
ENSMUSG00000036634,0,2.92622487501348,0,0,3.02199177184213,0,0,0
ENSMUSG00000036777,0,0.7427588660331,0,0,0.905976620385286,0,0,0
ENSMUSG00000036887,0,0,0,4.50957044928754,0,0,0,0
ENSMUSG00000036896,0,0,0,3.8721514361439,0,0,0,0
ENSMUSG00000036905,0,0,0,4.10061844953075,0,0,0,0
ENSMUSG00000036949,0,0,0,0,0,0,0,0
ENSMUSG00000037166,0,1.34061473743352,0,0,1.87395571533399,0,0,0
ENSMUSG00000037625,0.97828878166019,4.49199632072722,0,0,4.66101935072642,0.984877421726207,0,0
ENSMUSG00000037664,0,0,0,0,0,0,0,0
ENSMUSG00000037852,1.95916100629742,0.903213579247609,0,0,0,1.79269458626073,2.04498462007133,0
ENSMUSG00000037999,0,0.653016603849729,0,0,0,0,0,0
ENSMUSG00000038173,0,0,0,0,0,0,0,0
ENSMUSG00000038370,0,0,0.790098949833735,0,0,1.74232403384637,0,0
ENSMUSG00000038415,0,0,1.03651747989459,0,0,0,0,0
ENSMUSG00000038530,0,0,0,0,0,0,0,0
ENSMUSG00000038642,0,0,0,3.86784397409131,0,0,0,0
ENSMUSG00000038855,0,0,0,0,0,1.44797170449382,0,0
ENSMUSG00000039167,0,0,1.38686595101974,0,0,0,0,0
ENSMUSG00000039202,0,0,0.641988232822184,0,0,0,0,0
ENSMUSG00000039278,2.57198213552132,0.787146602801316,0,0,0,0,0,0
ENSMUSG00000039323,0,0,0,0,0,0,1.38752478718665,0
ENSMUSG00000039328,0,0,0,0,0,0,0,0
ENSMUSG00000039349,0,0,0.94831139919789,0,0,0,0,0
ENSMUSG00000039831,0,0,1.08937956071418,0,0,0,0,0
ENSMUSG00000040010,0,0,1.91166714696579,0,0,0,0,0
ENSMUSG00000040035,1.51203604011083,0,0,0,0,0,0,0
ENSMUSG00000040055,0,0,0,0,0,0,1.6897717146151,0
ENSMUSG00000040249,0,0,0,0,0,0,0,0
ENSMUSG00000040268,0,0.816851434237015,0,0,0.968860191090735,0,0,0
ENSMUSG00000040280,0,0,0,0,0,0,0,0
ENSMUSG00000040430,0.134285430897185,0,0,0,0,0,0,0
ENSMUSG00000040488,0,0,0.896534272528328,0,0,0,0,0
ENSMUSG00000040584,0,0,1.38460705371914,0,0,0,0,0
ENSMUSG00000040724,0.848381582337575,0,0,0,0,0,0,0
ENSMUSG00000040785,2.92073237180869,0.63435860339774,0,0,0,0,0,0
ENSMUSG00000040907,2.00788287063562,0,0,0,0,0,0,0
ENSMUSG00000041313,0,0,2.06632410363558,0,0,0,0,0
ENSMUSG00000041329,0,1.98488117947042,0,0,0,1.2966491499664,4.3724415766115,0
ENSMUSG00000041378,0,0,3.49822596026601,0,0,0,0,0
ENSMUSG00000041607,3.41190463742315,5.1666298238795,3.37524913062584,3.08690561749605,5.64785806804993,3.46092819961464,3.13475580821937,1.95531848915125
ENSMUSG00000042099,0,0,1.02894068538976,0,0,0,0,0
ENSMUSG00000042116,0,0,1.64991994771444,0,0,0,0,0
ENSMUSG00000042613,0,0,0,0,0,1.54448077498973,0,0
ENSMUSG00000042745,0,0,1.75233203305313,0,0,0,0,0
ENSMUSG00000042750,1.33677139889878,0,0,0,0,0,0,0
ENSMUSG00000042757,0,0,0,0,0,0,0,0
