d0	d2	d4	d7
Foxr1	1.78510638773462	2.41976276031749	0	1.17535518955604
Frmpd4	1.81606421656932	0	0	1.67782805090203
Fscn1	1.89640901564429	1.72018055470452	0	2.04306354461667
Fus	2.37348151852318	2.59209239771994	2.03687158516521	1.6974578476477
Fut2	1.33358003493743	0	0	2.10065119303441
Fxyd6	0.480091714570202	0	0	2.6380616332596
G3bp2	2.44554663140733	3.37177749657147	3.03786441731066	1.78343414726185
Gbp2b	1.33901906417015	0	0	2.01417481808771
Gchfr	2.03101720149803	0	0	1.01905459356457
Gcsam	2.66557581094055	1.67189846169146	2.0350141657171	1.16959836758768
Ghdc	2.32001333371625	3.35546350690886	2.18232501496714	1.6438224282441
Glipr2	0.692220111754254	0	0	1.90728365338084
Glod4	2.39200545658886	3.09821376320619	2.0708172857469	1.31234406238643
Glrx2	1.90157358079504	2.57367617619101	0	1.7711931072848
Glud1	2.96693234987374	2.90745648137906	3.00615414019772	2.34427331273366
Gm10941	1.26639044442302	3.57824094684892	1.80843060719218	1.60666924442353
Gm14015	2.72457944848079	0	0	2.7172629853164
Gm15941	1.89533410298081	0	0	1.7933908768508
Gm17821	3.27248474310214	3.69252784271147	3.32480916848538	2.95567834443232
Gm20172	2.2897649455802	0	0	2.08303029755625
Gm20594	2.00788886977609	2.30340704931655	0	1.53122738641637
Gm20604	1.81625923970128	0	0	1.69913248273747
Gm5523	1.10449966818916	3.43118316070703	3.31839445956648	2.00907203657334
Gm5860	2.42142013389508	3.72026075394256	2.39547919328099	1.21338500250871
Gm6083	2.38134243977917	3.57643688833941	2.3627257707919	0
Gm6644	1.72410391050223	3.90604384571741	3.22920354222535	1.14145433097222
Gm6793	3.04047777994079	3.07550985760823	2.98986297052218	2.5074770296604
Gmnc	1.34330846876578	0	0	2.10627598480487
Gnai2	1.4081750967228	1.58955711019479	2.01896912076717	2.00659845087278
Gnb2	1.75407930400072	2.06051326798319	2.29788505874977	2.77117340873271
Gpatch11	1.93652245030166	0	0	1.80975169625638
Gpi1	2.49691413313459	3.46391782936793	2.57545844605796	2.06429008224312
Gpx4	3.21806932582694	3.61526536927681	2.73811279113411	2.89749545013623
Grk6	1.77761329953712	0	0	1.91623074836043
Gsn	0	0	0	3.1285158457488
Gstm3	1.23185451230836	0	0	2.07841806115662
Gstp1	0.964467987794902	2.51766122773266	1.84572191445544	0.622717501628697
Gtf2h3	1.58048264427196	0	0	1.90456098041172
H13	1.85240181527774	0	0	1.92637614648391
H19	0.52902348075203	0	0	0.808576833635355
H2-T10	1.91970134090153	1.97718210186186	0	1.47648596131165
H2-T23	2.21575709998297	2.43749963198553	0	1.07895386362823
Hbs1l	2.02535183668302	0	0	2.165410007337
Hist1h2ah	1.45325721482135	2.3712966036861	2.2516101689374	1.27884742230941
Hist1h2ai	0.744888730299272	1.60213112157851	0	0.621699064981653
Hist1h2ao	3.14549510565701	5.14591095196646	5.34241763498482	1.83552353156992
Hist1h2ap	2.56257390283238	3.14068657976755	3.733748865391	0.651977009989086
Hmga1	2.62369058026692	3.94179139508054	3.32393238015769	2.02892995817404
Hmga1-rs1	2.62459715312894	3.95113628478954	3.32949639768871	2.02776998071037
Hmgb2	2.85853019977684	4.15738531205823	4.37985304549083	1.72861769031959
Hnrnpa3	3.11879597137979	2.49501985835507	2.63780324782811	2.55051824679145
Hnrnpf	2.78810799430271	2.76590322328514	2.7226003295756	2.13433553985528
Hnrnpk	2.11788448507033	2.05101470751189	0	2.28863962403048
Homez	1.54216574230885	0	0	2.16461363302488
Hook3	2.05611828238975	1.91989798813244	0	1.79600478434149
