bipolar	unknown	amacrine	muller	rods	cones
Tpr	0	0	0	0	0	0
Trip11	0	0	0	0	0	0
Trnp1	1.06071294010797	0	0	0	0	0
Trpm1	2.4960198645063	1.51446830352109	0	0	0	0
Tsc22d4	0	0	0	1.29943648645953	0	0
Tspan7	0	0	0.926369871053379	1.29595509086775	0	0.775515399071683
Ttc1	0	0	0	0	0	0
Ttc14	0	0	0.40104724524321	0	0	0
Ttc3	1.33193749102842	1.12353358061669	2.17252019579093	0	0	0
Tubb2a	0	0	1.05848287032321	0	0	0
Tulp1	0	0	0	0	3.02869257308954	2.776455988945
U2surp	0	0	0	0	0	0
Ube2k	0	0	0.184561924857333	0	0	0
Ube3a	0	0	0	0	0	0
Ubxn4	0	0	0	0	0	0
Ufl1	0	0	0	0	0	0
Unc13c	0	0	0	0	0	0
Upf3b	0	0	0	0	1.05408298534905	0.71220070852803
Uri1	0	0	0	0	0	0
Usp2	0	0	0	0	0	0
Usp34	0	0	0	0	0	0
Utp14b	0	0	0	1.13669700172201	0	0
Vim	0	0	0	1.0034576043776	0	0
Vstm2b	0	0	0	0	0	0
Vsx1	0	0	0	0	0	0
Wbp4	0	0	0	0	0	0
Wipi1	0	0	0	0.777348813312879	0	0
Xist	0	0	0	0	0	1.21347594097293
Xrn2	0	0	0	0	0	0
Ythdc1	0	0	0	0	0	0
Zbtb20	0	0	0	0	0	0
Zbtb38	0	0	0	0	0	0
Zc3h13	0	0	0	0	0	0
Zcchc11	0	0	0	0	0	0
Zeb2	0	0	0	0	0	0
Zfhx4	0	0	0	0	0	0
Zfml	0	0	0	0	0	0
Zfp106	0	0	0	0	0	0
Zfp148	0	0	0	0	0	0
Zfp292	0	0	0	0	0	0
Zfp365	0.897132886554736	0	0	0	0	0
Zfp36l1	0	0	0	0.802746772237206	0	0
Zfp385b	0	0	0	0	0	0
Zfp608	0	0	0	0	0	0
Zfp91	0	0	0	0	0	0
Zfr	0	0	0.794987485039708	0	0	0
Zranb2	0	0	0.388632680998036	0	0	0
mt-Rnr1	0.770235104581094	1.06375544788393	1.05238023120752	0	0	1.26483633193267
