,alpha,ductal,endothelial,delta,acinar,beta,unclear,gamma,mesenchymal,epsilon
LAPTM4B,2.5968095554523,3.48549800542213,2.5968095554523,0,3.1902461228973,2.3310113247995,2.09277191147803,2.00637582948719,2.70940585550236,0
LCN2,0,2.00637582948719,0,0,3.1902461228973,0,1.50873688217957,0,0,0
LDHA,2.3310113247995,3.1902461228973,2.5968095554523,2.00637582948719,4.13108414072177,0,2.83806271860101,0,4.13108414072177,1.00141187054396
LDHB,0,0,3.01747376435913,0,3.48549800542213,1.00141187054396,0,0,3.73230829087369,0
LGALS3,0,2.82200215555242,0,0,2.3310113247995,0,2.67574497094486,0,2.3310113247995,0
LGALS9,0,2.5968095554523,1.00141187054396,0,1.58873426750377,0,1.00141187054396,0,1.00141187054396,0
LGR4,0,2.00637582948719,0,0,3.01747376435913,0,2.16869357714335,0,0,0
LIMA1,1.29507306902387,2.3310113247995,1.58873426750377,1.00141187054396,3.34511411240253,1.00141187054396,3.26768011764991,0,3.01747376435913,0
LIMCH1,2.00637582948719,1.58873426750377,1.58873426750377,1.58873426750377,0,2.00637582948719,0,2.00637582948719,0,1.00141187054396
LIMS1,0,2.00637582948719,2.82200215555242,1.58873426750377,2.3310113247995,1.00141187054396,1.66621159767173,1.00141187054396,4.297494697513,1.00141187054396
LINC00643,1.58873426750377,0,0,1.58873426750377,0,1.00141187054396,0,1.00141187054396,0,0
LITAF,0,3.61392337716269,0,1.00141187054396,2.00637582948719,0,2.7606287238484,0,3.10385994362821,1.58873426750377
LOC100216479,2.00637582948719,0,0,1.00141187054396,0,1.00141187054396,0.500705935271981,0,0,0
LOC728392,2.00637582948719,0,0,3.1902461228973,0,2.00637582948719,0,2.00637582948719,1.00141187054396,1.00141187054396
LOXL4,3.34511411240253,0,0,0,0,0,0,0,0,0
LYZ,0,2.00637582948719,0,0,5.47554387171546,0,3.11916284093401,0,1.00141187054396,0
MAFA,0,0,0,0,0,3.34511411240253,0.500705935271981,0,0,0
MAFB,4.297494697513,0,0,2.3310113247995,0,3.94461184479151,1.50873688217957,0,1.58873426750377,0
MAL2,1.00141187054396,3.1902461228973,0,1.58873426750377,3.1902461228973,1.58873426750377,4.35812010269118,1.00141187054396,0,0
MAP1B,2.82200215555242,1.00141187054396,3.34511411240253,4.04066547433843,0,3.94461184479151,0,3.1902461228973,4.85646235107468,2.00637582948719
MAP2,1.58873426750377,2.00637582948719,0,2.5968095554523,1.58873426750377,2.82200215555242,0,2.5968095554523,1.00141187054396,2.00637582948719
MARCKSL1,0,2.5968095554523,3.01747376435913,0,2.3310113247995,0,2.4639104401259,0,2.70940585550236,1.00141187054396
MDK,1.58873426750377,1.58873426750377,0,2.00637582948719,1.58873426750377,0,1.0031879147436,1.00141187054396,1.00141187054396,1.58873426750377
MEG3,0,0,0,0,1.00141187054396,3.01747376435913,0,0,1.58873426750377,0
MEIS2,1.29507306902387,1.00141187054396,1.00141187054396,2.3310113247995,0,2.82200215555242,1.00141187054396,3.34511411240253,1.00141187054396,2.3310113247995
MGST1,0,0,0,0,4.64959141436424,0,1.29840477772615,0,3.01747376435913,0
MICAL2,0,1.00141187054396,0,0,1.58873426750377,0,0.794367133751885,0,4.82868858074601,0
MIR7-3HG,2.3310113247995,0,0,3.01747376435913,0,2.5968095554523,0.794367133751885,2.5968095554523,0,0
MLXIPL,1.58873426750377,0,0,1.58873426750377,0,2.3310113247995,0,1.58873426750377,0,0
MMP7,0,3.48549800542213,0,0,0,0,1.00141187054396,0,0,0
MOB1B,2.82200215555242,1.00141187054396,1.00141187054396,1.00141187054396,1.00141187054396,2.00637582948719,1.50389385001558,1.00141187054396,1.29507306902387,1.00141187054396
MSN,0,2.00637582948719,3.34511411240253,0,1.58873426750377,0,0.500705935271981,0,3.1902461228973,0
MT2A,0,1.00141187054396,0,0,1.00141187054396,1.00141187054396,0,0,2.3310113247995,1.00141187054396
MTUS1,0,2.5968095554523,0,2.00637582948719,4.4478756194429,0,1.16550566239975,1.00141187054396,1.00141187054396,1.58873426750377
MUC1,0,1.00141187054396,0,0,4.21651357227149,0,3.01747376435913,0,0,0
MUC13,3.01747376435913,1.58873426750377,0,0,1.00141187054396,0,0.500705935271981,1.00141187054396,0,1.00141187054396
MUC20,0,2.5968095554523,0,0,1.58873426750377,0,1.58873426750377,0,0,0
MYH10,2.82200215555242,1.00141187054396,0,2.3310113247995,0,2.00637582948719,0,1.58873426750377,1.58873426750377,1.00141187054396
MYH14,1.00141187054396,2.3310113247995,0,0,1.58873426750377,2.00637582948719,2.30310401593145,0,0,1.00141187054396
MYH9,1.58873426750377,4.21651357227149,3.84214376653737,1.58873426750377,4.51800216022477,1.79755504849548,2.83806271860101,1.58873426750377,5.75904068485912,1.00141187054396
MYL12A,1.00141187054396,4.04066547433843,3.48549800542213,1.00141187054396,4.37448516703409,1.58873426750377,4.27593857489811,1.00141187054396,4.0858748075301,1.00141187054396
MYO10,1.58873426750377,2.00637582948719,2.5968095554523,1.00141187054396,2.00637582948719,0,2.16869357714335,1.00141187054396,3.01747376435913,1.00141187054396
MYOF,0,2.3310113247995,0,0,1.00141187054396,0,1.0031879147436,0,3.67311583401819,0
MYRF,1.00141187054396,2.82200215555242,0,0,2.00637582948719,0,1.29840477772615,0,0,1.58873426750377
NAMPT,1.00141187054396,3.1902461228973,2.00637582948719,1.00141187054396,3.34511411240253,1.58873426750377,4.58633075480568,0,1.58873426750377,0
NAV1,2.3310113247995,1.00141187054396,2.5968095554523,2.00637582948719,1.00141187054396,2.3310113247995,0,1.58873426750377,3.94461184479151,0
NCOA7,0,2.3310113247995,2.00637582948719,1.58873426750377,2.5968095554523,0,2.00944281745155,0,1.58873426750377,0
