,A549,GM12878_B1,H1437,HCT116,IMR90,H1_B1,K562,GM12878_B2,H1_B2
LRRN1,0,0,0,0,0,8.24135180519495,0,0,8.440815690836
LTA4H,7.83554333215027,0,4.6866631784921,8.62174932323886,0,8.56052875452367,4.58207966378802,8.69824785525653,9.69740619412832
LTV1,6.53888030671935,0,7.48649950467416,9.49954758226525,0,8.67043067507542,9.01318060186271,8.27567567173462,8.49471246072646
MAD2L1,0,0,7.68716908303205,10.1669178117902,0,8.9292695361295,9.17979024913139,8.91746349386506,9.22095765110349
MAD2L1BP,0,0,2.29506460882195,7.10370897424691,0,4.59309931322796,7.50130462599348,7.47776938617799,7.49550232572561
MAK16,6.63640409479453,0,4.25834457444083,8.40915677919371,0,9.04221844398213,8.00964865004983,8.40386971980386,9.2711065383033
MAP1B,11.5703330230974,2.5353156439561,8.6678248076203,4.72363180503797,13.1657637422956,11.743409309657,7.14284520456886,0,11.8619460091996
MAPRE1,3.85768858148575,1.24164332246753,5.71222900970007,9.2465162320575,7.28266895980445,8.4611517127913,8.34504068939234,9.46725676637171,9.34692547934506
MARCKS,9.12732104175582,11.7865530827739,9.85557600778523,0,12.0253129967282,10.3770614871091,0,11.0761538510104,10.5061888271988
MARS,8.29542657070252,0,6.11169802822263,9.20337575850598,0,8.68205577855625,8.51471536663804,8.64044919371854,9.5248971387416
MAT2A,10.4841052012093,0,6.50362881084995,8.66326956940067,0,9.01147496237285,6.94896209204361,7.8724834437219,8.74721664138255
MCM10,0,0,7.50572190766566,8.19691898917379,0,7.65501324484065,7.52722673913336,5.49971410654871,7.19556452921098
MCM3,0,3.73368505480829,8.89230618798777,10.2163352323722,0,10.2710294540056,9.42104194880546,9.88373498428735,10.1494628054291
MCM5,0,0,3.33032363550909,8.40285551777951,0,7.77486929084322,6.85043441362785,8.14480537011623,7.6928077333486
MCM6,0,0,5.64286793603646,8.45635490887018,0,8.24924067874864,7.67499572855409,7.76797375735174,8.21348902396064
MCM7,2.54922657624554,0,7.80681774773193,10.7954592917395,0,10.066451052019,10.1068325904987,10.3345680045451,10.2721336855755
MDK,0,0,0,7.01628552702322,0,7.4521764480064,7.22952114621906,0,6.14023979192505
MEF2C,0,9.23040220280944,0,0.996748749429223,0,0,8.19180862757205,9.9684634733824,0
MEST,3.40813000814233,0,0,8.23662185654874,0,9.66637542120527,0,0,10.234924539416
METAP1,0,0,7.00820142150039,8.87644262193067,0,8.12629880202248,7.0403371595808,8.43712716173868,9.01285068518406
MFAP2,0,0,0,5.7281717712742,0,8.57603749172041,0,0,8.08812085942605
